"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010054","GO:0010054","trichoblast differentiation","113/2278","354/20876",4.53494162462767e-27,7.05183422629603e-24,5.94316033964363e-24,"AT5G17330/AT3G02240/AT3G49960/AT4G25220/AT3G01730/AT5G51060/AT5G22410/AT3G62680/AT1G12950/AT5G06640/AT5G04960/AT5G57540/AT5G24313/AT5G57530/AT1G12040/AT1G54970/AT2G20520/AT4G40090/AT5G67400/AT5G19800/AT4G02270/AT4G26010/AT5G35190/AT4G25820/AT4G25790/AT1G27740/AT1G34510/AT1G70460/AT3G10710/AT5G05500/AT1G62980/AT1G01750/AT1G04160/AT4G34580/AT1G48930/AT4G27290/AT1G30870/AT2G35610/AT5G16910/AT2G45160/AT5G03290/AT2G45750/AT5G43230/AT2G16510/AT4G23470/AT2G03720/AT3G54870/AT2G44110/AT1G12560/AT5G49270/AT2G45890/AT3G09810/AT4G30320/AT3G61440/AT4G00680/AT1G30850/AT1G09000/AT4G33730/AT1G16710/AT2G32080/AT3G28860/AT2G21045/AT1G63450/AT5G26240/AT4G01290/AT3G02880/AT2G46410/AT4G26690/AT5G63990/AT3G15730/AT4G22010/AT3G60630/AT2G17720/AT2G02470/AT3G07900/AT4G00730/AT3G06300/AT3G05490/AT1G19360/AT5G44610/AT3G16370/AT5G12330/AT2G04680/AT2G32270/AT2G26420/AT1G52240/AT1G04430/AT5G09350/AT1G49860/AT5G17820/AT1G12840/AT2G02560/AT3G12540/AT5G15580/AT5G65090/AT5G37850/AT5G61650/AT3G19820/AT1G31420/AT1G19220/AT5G45420/AT4G33880/AT1G13980/AT4G30670/AT2G22475/AT2G26650/AT3G62720/AT1G50030/AT1G75110/AT4G18640/AT5G51310/AT1G79340/AT4G29180",113
"GO:0009749","GO:0009749","response to glucose","31/2278","86/20876",6.81005922465761e-10,1.1766268993714e-07,9.9164020288874e-08,"AT2G38290/AT5G39320/AT3G01720/AT5G03290/AT4G37220/AT3G09810/AT2G26300/AT5G63400/AT5G50850/AT3G52200/AT4G34390/AT1G72730/AT5G08300/AT2G17720/AT2G24610/AT1G19360/AT1G71780/AT5G16510/AT5G19520/AT4G01900/AT3G02360/AT1G24180/AT1G45249/AT2G41220/AT1G72320/AT1G09780/AT2G35120/AT1G66200/AT1G17500/AT4G33360/AT1G20840",31
"GO:0043094","GO:0043094","cellular metabolic compound salvage","49/2278","182/20876",1.33534897523729e-09,2.07646765649398e-07,1.75000997281097e-07,"AT4G14880/AT5G63400/AT2G20820/AT5G45620/AT4G34700/AT3G18410/AT5G67590/AT1G14450/AT1G07890/AT4G02580/AT3G46430/AT3G55440/AT2G40765/AT3G27240/AT2G34520/AT1G05205/AT5G66510/AT5G08300/AT1G79870/AT4G11010/AT1G71780/AT2G29530/AT5G13450/AT3G52300/AT5G47435/AT2G05830/AT2G33040/AT1G47260/AT3G52090/AT1G12840/AT3G44330/AT2G20360/AT5G52840/AT2G22570/AT5G37850/AT2G17130/AT3G07480/AT3G51310/AT3G08580/AT2G18040/AT2G04650/AT3G52730/AT2G31490/AT1G67350/AT4G17270/AT1G27450/AT5G08530/AT4G33360/AT2G21390",49
"GO:0010167","GO:0010167","response to nitrate","51/2278","197/20876",2.71348202613917e-09,3.51622045887201e-07,2.96340800223094e-07,"AT5G17330/AT4G19680/AT5G63270/AT4G01700/AT1G12740/AT1G22440/AT4G02270/AT4G26010/AT5G64120/AT2G27660/AT1G68840/AT1G62660/AT2G26820/AT4G23470/AT1G73260/AT5G55850/AT5G26010/AT2G22470/AT5G20400/AT3G62270/AT2G21045/AT2G29330/AT1G51840/AT3G49210/AT1G08670/AT3G01470/AT4G20110/AT1G78050/AT4G13660/AT5G64100/AT2G23030/AT5G44610/AT1G11540/AT2G32270/AT2G47160/AT5G17820/AT1G68150/AT3G01290/AT3G49940/AT1G51830/AT4G30670/AT4G01720/AT2G26650/AT4G26970/AT3G45410/AT5G05400/AT1G79340/AT3G23190/AT4G30060/AT2G28960/AT4G25090",51
"GO:0015706","GO:0015706","nitrate transport","50/2278","206/20876",3.78319988816054e-08,4.2020541614926e-06,3.54141643666156e-06,"AT5G17330/AT4G19680/AT4G01700/AT1G12740/AT1G22440/AT4G02270/AT4G26010/AT5G64120/AT2G27660/AT1G68840/AT1G62660/AT2G26820/AT4G23470/AT1G73260/AT5G26010/AT2G22470/AT5G20400/AT3G62270/AT2G21045/AT2G29330/AT1G51840/AT3G49210/AT1G08670/AT3G01470/AT4G20110/AT4G13660/AT5G64100/AT1G79360/AT2G23030/AT5G44610/AT1G11540/AT2G32270/AT2G47160/AT5G17820/AT1G68150/AT3G01290/AT3G49940/AT1G51830/AT5G14570/AT4G30670/AT4G01720/AT2G26650/AT4G26970/AT3G45410/AT5G05400/AT1G79340/AT3G23190/AT4G30060/AT2G28960/AT4G25090",50
"GO:0000041","GO:0000041","transition metal ion transport","54/2278","231/20876",4.31610740572033e-08,4.40297129730973e-06,3.71074582172998e-06,"AT5G60530/AT5G17330/AT4G19680/AT1G12740/AT1G22440/AT4G02270/AT4G26010/AT4G35380/AT3G16440/AT1G62660/AT3G26470/AT2G26820/AT1G56145/AT5G26010/AT3G62270/AT2G21045/AT5G01600/AT2G29330/AT3G54040/AT1G51840/AT1G08670/AT4G13660/AT4G00080/AT2G23030/AT5G44610/AT2G39410/AT2G32270/AT4G15390/AT2G47160/AT5G17820/AT3G24240/AT1G68150/AT5G19520/AT1G80830/AT2G46800/AT1G51830/AT2G21550/AT2G30840/AT2G41220/AT4G30670/AT3G15240/AT2G26650/AT1G60960/AT3G24450/AT3G46900/AT1G23020/AT4G26470/AT3G45410/AT5G05400/AT3G19390/AT5G59930/AT3G23190/AT2G28960/AT4G25090",54
"GO:0006497","GO:0006497","protein lipidation","40/2278","159/20876",3.07992091500375e-07,2.39463851141542e-05,2.01815870483141e-05,"AT1G48850/AT1G02430/AT2G24170/AT1G02440/AT1G80780/AT5G60640/AT3G49370/AT2G37110/AT2G26300/AT3G10660/AT1G07890/AT3G22950/AT2G24360/AT2G34980/AT1G07110/AT1G12290/AT4G02570/AT5G22130/AT5G40780/AT3G07960/AT1G50200/AT4G39910/AT5G04720/AT3G45100/AT5G61210/AT3G44330/AT5G10840/AT1G07630/AT4G39890/AT2G03120/AT1G49050/AT5G63020/AT2G24765/AT3G60600/AT5G15870/AT1G05840/AT1G05350/AT3G62360/AT5G63080/AT5G08530",40
"GO:0042157","GO:0042157","lipoprotein metabolic process","40/2278","159/20876",3.07992091500375e-07,2.39463851141542e-05,2.01815870483141e-05,"AT1G48850/AT1G02430/AT2G24170/AT1G02440/AT1G80780/AT5G60640/AT3G49370/AT2G37110/AT2G26300/AT3G10660/AT1G07890/AT3G22950/AT2G24360/AT2G34980/AT1G07110/AT1G12290/AT4G02570/AT5G22130/AT5G40780/AT3G07960/AT1G50200/AT4G39910/AT5G04720/AT3G45100/AT5G61210/AT3G44330/AT5G10840/AT1G07630/AT4G39890/AT2G03120/AT1G49050/AT5G63020/AT2G24765/AT3G60600/AT5G15870/AT1G05840/AT1G05350/AT3G62360/AT5G63080/AT5G08530",40
"GO:0042158","GO:0042158","lipoprotein biosynthetic process","40/2278","159/20876",3.07992091500375e-07,2.39463851141542e-05,2.01815870483141e-05,"AT1G48850/AT1G02430/AT2G24170/AT1G02440/AT1G80780/AT5G60640/AT3G49370/AT2G37110/AT2G26300/AT3G10660/AT1G07890/AT3G22950/AT2G24360/AT2G34980/AT1G07110/AT1G12290/AT4G02570/AT5G22130/AT5G40780/AT3G07960/AT1G50200/AT4G39910/AT5G04720/AT3G45100/AT5G61210/AT3G44330/AT5G10840/AT1G07630/AT4G39890/AT2G03120/AT1G49050/AT5G63020/AT2G24765/AT3G60600/AT5G15870/AT1G05840/AT1G05350/AT3G62360/AT5G63080/AT5G08530",40
"GO:0046916","GO:0046916","cellular transition metal ion homeostasis","38/2278","154/20876",1.01141285485177e-06,7.48927137759287e-05,6.31182458290954e-05,"AT4G19680/AT1G12740/AT1G22440/AT4G02270/AT4G26010/AT1G62660/AT2G26820/AT3G21180/AT5G26010/AT3G62270/AT2G21045/AT5G01600/AT2G29330/AT1G51840/AT1G08670/AT4G13660/AT4G39080/AT2G23030/AT1G12520/AT5G44610/AT2G32270/AT2G47160/AT5G17820/AT1G68150/AT3G56240/AT2G46800/AT1G51830/AT4G30670/AT2G26650/AT1G60960/AT1G23020/AT4G28630/AT3G45410/AT5G05400/AT3G23190/AT3G51860/AT2G28960/AT4G25090",38
