"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009644","GO:0009644","response to high light intensity","78/2037","224/20876",1.0091428945731e-24,1.57325377263947e-21,1.08137628071097e-21,"AT1G79040/AT3G25230/AT2G39730/AT5G01530/AT1G54050/AT3G09350/AT2G32120/AT5G22060/AT2G21970/AT5G48570/AT2G05620/AT3G59770/AT2G30950/AT4G21280/AT3G08940/AT4G11660/AT1G66510/AT3G09440/AT1G14980/AT3G04710/AT1G62740/AT2G20560/AT4G32770/AT5G05410/AT4G14690/AT3G19640/AT2G43630/AT1G66080/AT4G12400/AT3G23990/AT1G74310/AT4G10340/AT5G51440/AT1G20340/AT1G14200/AT1G60950/AT4G04020/AT5G61790/AT3G51910/AT3G16050/AT5G04410/AT4G30950/AT4G25050/AT2G25140/AT5G49910/AT1G56340/AT5G55920/AT5G35320/AT2G03800/AT2G36840/AT1G06680/AT3G12580/AT2G19310/AT5G53400/AT5G18420/AT5G42270/AT5G52640/AT2G25110/AT4G16660/AT2G26150/AT3G54890/AT4G24190/AT1G66070/AT3G24500/AT4G23493/AT5G09590/AT1G63970/AT5G47830/AT4G05440/AT5G18100/AT1G07350/AT4G21320/AT1G29150/AT3G10680/AT3G12050/AT1G30070/AT3G08970/AT4G29330",78
"GO:0019684","GO:0019684","photosynthesis, light reaction","94/2037","317/20876",1.21386897359193e-23,9.46210864914907e-21,6.50378218482412e-21,"AT3G56940/AT1G52230/AT1G54780/AT1G74470/AT1G79040/AT2G20260/AT2G34420/AT1G05140/AT5G13630/AT2G39730/AT2G46820/AT4G02770/AT5G01530/AT1G63610/AT1G44575/AT2G47840/AT2G21970/AT5G38660/AT2G35370/AT2G05620/AT1G67740/AT2G32480/AT2G30950/AT5G47110/AT4G21280/AT2G20890/AT3G08940/AT2G01110/AT4G03280/ATCG00720/AT4G02530/AT1G52220/ATCG00340/AT1G03160/AT1G11870/AT2G35500/AT3G25690/AT4G35250/AT5G08050/AT1G03600/AT3G16140/AT3G12780/AT1G74850/AT5G66190/AT2G26500/AT1G03130/AT1G16720/AT4G33480/AT1G50250/AT1G68890/AT1G60950/AT4G04020/AT1G03680/AT4G01050/AT5G38520/AT4G28750/AT3G61470/AT5G06290/AT3G17040/AT1G32470/AT3G21055/AT1G42550/AT4G27440/AT5G03880/AT5G01920/ATCG00350/AT5G23120/AT4G30950/AT4G25050/AT5G52100/AT5G42480/ATCG00280/AT1G06680/AT4G15510/AT2G43030/AT5G57030/AT4G32260/AT5G42270/AT3G55800/AT2G30570/AT1G76100/AT3G54890/AT1G21600/AT4G09650/AT1G35680/AT4G37930/AT5G59250/ATCG00270/AT1G05190/AT1G15820/AT4G04640/AT5G19940/AT1G08380/AT4G12800",94
"GO:0009657","GO:0009657","plastid organization","102/2037","388/20876",3.54557442836569e-21,1.10551010676442e-18,7.598725827529e-19,"AT3G56940/AT4G33760/AT1G79850/AT1G52230/AT1G54780/AT4G34830/AT2G46820/AT5G62430/AT2G04030/AT4G02770/AT3G54090/AT3G49560/AT5G02250/AT1G44575/AT1G65230/AT3G63190/AT2G35370/AT1G67740/AT2G32480/AT2G30950/AT4G21280/AT2G20890/AT3G62910/AT2G01110/AT4G03280/AT2G41680/AT3G56290/AT4G02530/AT1G52220/AT1G03160/AT1G11870/AT3G25690/AT5G08050/AT1G03600/AT3G16140/AT1G12800/AT3G23400/AT3G12780/AT1G68590/AT1G74850/AT5G66190/AT2G26500/AT3G58140/AT5G10470/AT2G28000/AT1G78600/AT1G20340/AT5G20720/AT4G24280/AT1G03680/AT4G01050/AT5G38520/AT4G28750/AT3G51820/AT3G13470/AT5G06290/AT3G18680/AT3G17040/AT1G32470/AT3G21055/AT1G42550/AT5G23120/AT3G26900/AT4G25050/AT4G28740/AT2G16365/AT2G21170/AT5G52970/AT5G42480/AT5G14660/AT1G06680/AT3G20930/AT4G30580/AT4G32260/AT2G44870/AT3G48870/AT3G55800/AT3G19720/AT1G18060/AT3G19220/AT2G30570/AT4G24750/AT3G02380/AT3G13490/AT1G21600/AT4G09650/AT1G35680/AT1G16080/AT2G39670/AT1G04770/AT4G09730/AT5G65460/AT1G05190/AT1G63970/AT1G15510/AT3G12080/AT2G21280/AT4G04640/AT1G06950/AT5G11480/AT1G08380/AT4G12800",102
"GO:0016072","GO:0016072","rRNA metabolic process","76/2037","247/20876",2.06487828004857e-20,5.36524206432621e-18,3.68780015629728e-18,"AT3G56940/AT4G33760/AT1G52230/AT1G54780/AT2G46820/AT4G02770/AT3G54090/AT5G01530/AT5G02250/AT1G72370/AT1G44575/AT3G14110/AT2G35370/AT1G67740/AT2G30950/AT4G21280/AT2G20890/AT3G08940/AT1G16280/AT2G01110/AT4G03280/AT4G02530/AT1G52220/AT1G03160/AT1G11870/AT2G44860/AT3G25690/AT4G35250/AT1G03600/AT3G16140/AT1G74850/AT5G66190/AT2G26500/AT4G10340/AT1G17690/AT1G03680/AT1G06190/AT4G01050/AT5G38520/AT4G28750/AT5G10360/AT3G51820/AT3G18680/AT3G17040/AT1G32470/AT1G48920/AT3G21055/AT1G42550/AT5G23120/AT4G25050/AT1G43860/AT5G52970/AT1G06680/AT2G43030/AT3G26060/AT4G32260/AT3G55800/AT5G41190/AT2G30570/AT4G24750/AT3G54890/AT3G13490/AT1G21600/AT4G09650/AT1G35680/AT2G17250/AT2G39670/AT4G09730/AT1G05190/AT4G18480/AT1G63970/AT3G12080/AT4G04640/AT5G11480/AT1G08380/AT4G12800",76
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","93/2037","345/20876",3.21604564471456e-20,7.16259308587142e-18,4.9232097237886e-18,"AT3G56940/AT4G33760/AT1G52230/AT1G54780/AT2G30260/AT2G46820/AT4G02770/AT3G54090/AT5G01530/AT5G02250/AT1G72370/AT1G44575/AT3G44890/AT3G14110/AT2G35370/AT1G67740/AT2G30950/AT4G21280/AT2G20890/AT3G08940/AT1G16280/AT2G01110/AT4G03280/AT2G05220/AT4G02530/AT1G52220/AT1G03160/AT1G11870/AT2G44860/AT3G25690/AT2G31660/AT4G35250/AT1G03600/AT3G16140/AT3G49010/AT1G52300/AT4G02230/AT2G34480/AT1G74850/AT5G66190/AT2G26500/AT5G46430/AT5G55140/AT4G10340/AT1G03680/AT1G06190/AT4G01050/AT3G56340/AT5G38520/AT4G28750/AT5G10360/AT3G51820/AT3G18680/AT3G17040/AT1G32470/AT1G48920/AT3G21055/AT1G09140/AT1G42550/AT2G19740/AT5G23120/AT4G25050/AT1G43860/AT1G02780/AT5G52970/AT5G06360/AT1G06680/AT2G43030/AT3G26060/AT1G29965/AT4G32260/AT3G55800/AT5G41190/AT2G30570/AT4G24750/AT3G54890/AT3G13490/AT1G21600/AT4G09650/AT1G35680/AT2G17250/AT2G39670/AT5G23900/AT1G18080/AT4G09730/AT1G05190/AT4G18480/AT1G63970/AT3G12080/AT4G04640/AT5G11480/AT1G08380/AT4G12800",93
"GO:0006457","GO:0006457","protein folding","80/2037","290/20876",3.21561336196238e-18,4.17761769274946e-16,2.8714863179629e-16,"AT3G25230/AT2G04030/AT1G54050/AT5G02500/AT5G56010/AT3G09350/AT2G32120/AT5G22060/AT3G16420/AT2G21130/AT5G48570/AT1G11660/AT1G66510/AT3G09440/AT1G14980/AT3G04710/AT5G23240/AT2G20560/AT5G56030/AT5G17710/AT1G55490/AT2G35720/AT5G05410/AT1G03760/AT2G43630/AT1G66080/AT4G12400/AT3G23990/AT1G74310/AT3G14200/AT2G28000/AT5G48030/AT5G51440/AT1G14200/AT4G24280/AT4G39960/AT5G61790/AT2G22360/AT1G02650/AT1G56300/AT3G51910/AT3G44110/AT1G59860/AT5G35100/AT3G16050/AT5G06410/AT1G01940/AT4G26780/AT2G25140/AT5G49910/AT1G56340/AT3G62190/AT5G55920/AT5G35320/AT5G42480/AT3G13310/AT3G12580/AT5G53400/AT5G52640/AT2G25110/AT4G16660/AT2G26150/AT4G37910/AT4G24190/AT1G74250/AT3G17880/AT1G66070/AT5G49510/AT3G24500/AT4G23493/AT5G09590/AT5G47830/AT4G05440/AT4G21320/AT1G29150/AT3G12050/AT1G30070/AT3G08970/AT4G29330/AT3G63400",80
"GO:0072594","GO:0072594","establishment of protein localization to organelle","110/2037","477/20876",4.67728811753405e-18,5.60914782710429e-16,3.85544882886612e-16,"AT3G56310/AT3G10850/AT1G20110/AT2G14740/AT1G07140/AT2G04030/AT5G55190/AT1G23780/AT2G40430/AT5G13570/AT2G45730/AT5G20020/AT2G20890/AT1G32230/AT1G16280/AT1G79150/AT3G55770/AT2G25970/AT3G20290/AT1G02370/AT4G36630/AT2G27090/AT5G06000/AT5G46580/AT3G51800/AT1G07840/AT2G37410/AT5G22000/AT2G31660/AT3G52170/AT5G19300/AT1G14300/AT3G56990/AT1G30580/AT1G14060/AT3G23990/AT2G26350/AT1G74850/AT2G33800/AT5G53480/AT2G28910/AT5G62050/AT5G22330/AT2G34357/AT4G39100/AT1G15420/AT2G41020/AT2G20330/AT3G16810/AT1G17690/AT4G01560/AT5G38890/AT4G24280/AT5G09840/AT5G03940/AT5G66540/AT4G16143/AT5G03240/AT3G18680/AT2G47960/AT1G54770/AT2G18900/AT4G32850/AT1G56280/AT2G40780/AT2G37400/AT5G57360/AT4G26780/AT1G80270/AT5G20010/AT5G49910/AT3G47550/AT5G40930/AT5G66160/AT3G07560/AT1G29400/AT1G27970/AT5G17270/AT2G43030/AT1G28490/AT4G17170/AT4G24770/AT5G54910/AT5G09420/AT3G08950/AT4G28200/AT3G16620/AT3G48870/AT5G56290/AT3G46000/AT5G41190/AT4G24750/AT1G64230/AT1G33810/AT1G77140/AT2G39670/AT4G21105/AT5G40770/AT5G41790/AT5G16880/AT4G36680/AT1G64550/AT1G15950/AT1G06950/AT1G16210/AT5G20300/AT5G22820/AT4G02510/AT1G26440/AT5G39510",110
"GO:0010207","GO:0010207","photosystem II assembly","59/2037","177/20876",5.4832037363097e-18,6.10593901779059e-16,4.19691834854382e-16,"AT3G56940/AT1G52230/AT1G54780/AT1G79040/AT1G05140/AT2G46820/AT4G02770/AT1G63610/AT1G44575/AT2G47840/AT5G38660/AT2G35370/AT1G67740/AT2G32480/AT2G30950/AT4G21280/AT2G20890/AT2G01110/AT4G03280/AT1G52220/AT1G03160/AT1G11870/AT2G35500/AT3G25690/AT4G35250/AT1G03600/AT3G16140/AT1G74850/AT5G66190/AT2G26500/AT1G16720/AT4G33480/AT1G60950/AT1G03680/AT4G01050/AT5G38520/AT4G28750/AT3G17040/AT1G32470/AT3G21055/AT1G42550/AT5G23120/AT4G25050/AT5G52100/AT5G42480/ATCG00280/AT1G06680/AT2G43030/AT4G32260/AT3G55800/AT2G30570/AT1G21600/AT4G09650/AT1G35680/ATCG00270/AT1G05190/AT4G04640/AT1G08380/AT4G12800",59
"GO:0019682","GO:0019682","glyceraldehyde-3-phosphate metabolic process","85/2037","336/20876",9.31101499722427e-17,9.0724202379204e-15,6.23592978103573e-15,"AT3G56940/AT1G10960/AT1G54780/AT3G10850/AT4G34830/AT2G46820/AT2G30390/AT3G60750/AT1G65230/AT3G44890/AT3G63190/AT3G14110/AT4G17040/AT2G35370/AT2G30950/AT2G20890/AT4G03280/AT2G41680/AT4G34090/AT4G02530/AT3G63520/AT2G35500/AT5G01410/AT4G35250/AT5G08050/AT1G12800/AT3G12780/AT1G68590/AT5G66190/AT3G58140/AT2G21385/AT1G08520/AT5G43940/AT1G20340/AT5G20720/AT1G50250/AT2G36460/AT3G25860/AT5G03940/AT1G03680/AT4G01050/AT3G51820/AT2G01140/AT5G06290/AT1G23740/AT1G32470/AT4G00370/AT2G29630/AT5G23120/AT3G26900/AT4G30950/AT4G25050/AT2G33450/AT1G18660/AT1G77090/AT4G28740/AT3G25530/AT1G31800/AT5G10690/AT2G21170/AT5G52970/AT3G53130/AT5G14660/AT2G43030/AT4G30580/AT4G32260/AT5G42270/AT3G55800/AT1G18060/AT3G63410/AT5G40760/AT4G24750/AT4G09650/AT2G24090/AT1G16080/AT1G24280/AT4G01100/AT1G05190/AT1G04420/AT4G18480/AT1G63970/AT3G52930/AT2G21280/AT4G04640/AT1G08380",85
"GO:0009408","GO:0009408","response to heat","76/2037","298/20876",2.49577908517337e-15,2.2887762316384e-13,1.57319077938482e-13,"AT1G20440/AT1G15430/AT3G25230/AT2G04030/AT5G65020/AT1G54050/AT5G02500/AT5G56010/AT3G09350/AT2G32120/AT5G22060/AT5G48570/AT1G71790/AT4G11660/AT5G55160/AT1G66510/AT5G13200/AT3G09440/AT1G14980/AT3G04710/AT5G58070/AT2G20560/AT5G56030/AT5G05410/AT4G14690/AT2G43630/AT1G66080/AT1G77000/AT4G12400/AT1G79440/AT3G23990/AT1G74310/AT5G43940/AT5G51440/AT1G14200/AT5G61790/AT5G46170/AT3G02885/AT3G51910/AT1G59860/AT5G42380/AT3G10800/AT3G16050/AT4G26780/AT2G25140/AT5G60410/AT5G49910/AT1G56340/AT1G06460/AT5G55920/AT5G35320/AT2G33590/AT3G12580/AT2G19310/AT5G53400/AT5G52640/AT2G25110/AT4G16660/AT1G07400/AT2G26150/AT4G24190/AT3G17880/AT1G66070/AT3G24500/AT4G23493/AT5G09590/AT5G47830/AT4G05440/AT4G21320/AT1G29150/AT3G10680/AT3G12050/AT1G30070/AT3G08970/AT3G08690/AT4G29330",76
