"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008219","GO:0008219","cell death","88/1974","496/20876",4.93734059371656e-09,7.53931908660519e-06,6.07552753058385e-06,"AT2G19190/AT1G51680/AT1G77380/AT5G01540/AT5G06860/AT3G47380/AT1G19180/AT3G11840/AT3G22160/AT1G61560/AT1G28380/AT1G51890/AT4G18950/AT2G19560/AT4G19700/AT5G13490/AT1G64610/AT1G05010/AT4G33050/AT2G28660/AT2G46500/AT5G51700/AT3G57530/AT4G38550/AT2G40270/AT1G69260/AT1G14000/AT5G47910/AT3G10640/AT4G11330/AT1G02860/AT4G08180/AT1G27100/AT5G23040/AT1G73730/AT1G08940/AT5G24520/AT4G13820/AT4G33630/AT2G30250/AT1G08720/AT5G45410/AT5G64530/AT1G11310/AT4G36030/AT3G56860/AT2G38470/AT2G39660/AT5G06870/AT5G06290/AT5G55120/AT2G21560/AT4G02640/AT1G21750/AT3G16340/AT3G06110/AT1G02170/AT4G34000/AT2G23680/AT1G22400/AT4G20830/AT4G29380/AT2G44490/AT2G31880/AT4G29130/AT5G67340/AT3G19010/AT1G33600/AT5G53760/AT1G59870/AT4G16760/AT3G19370/AT3G17700/AT4G05590/AT1G61660/AT1G53130/AT4G34710/AT2G41060/AT3G09830/AT1G74360/AT5G63710/AT5G06960/AT4G20380/AT2G37940/AT1G07640/AT5G45260/AT5G40450/AT5G44870",88
"GO:0009751","GO:0009751","response to salicylic acid","82/1974","473/20876",4.73435956202871e-08,2.76129768762856e-05,2.2251797448301e-05,"AT2G19190/AT3G48920/AT5G24110/AT1G76930/AT5G13330/AT5G01540/AT5G06860/AT3G47380/AT1G19180/AT3G11840/AT3G22160/AT1G28380/AT1G51890/AT4G18950/AT2G19560/AT1G64610/AT1G05010/AT4G33050/AT4G25560/AT5G06950/AT1G67800/AT2G46500/AT3G57530/AT2G40270/AT4G23270/AT1G75020/AT1G69260/AT1G14000/AT3G55730/AT4G05320/AT5G65210/AT3G10640/AT4G11330/AT1G79180/AT1G02860/AT4G08180/AT1G73730/AT4G13820/AT3G43190/AT1G05690/AT5G61420/AT2G30250/AT1G08720/AT5G45410/AT1G11310/AT4G36030/AT2G38470/AT5G02840/AT2G39660/AT5G06870/AT5G06290/AT5G55120/AT5G49570/AT3G56710/AT1G35515/AT4G12670/AT1G02170/AT1G06910/AT4G34000/AT2G23680/AT1G22400/AT4G29380/AT2G44490/AT5G67340/AT2G34720/AT1G33600/AT1G59870/AT4G16760/AT3G17700/AT1G53130/AT4G34710/AT4G36150/AT3G46590/AT1G74360/AT5G06960/AT4G20380/AT5G08790/AT1G07640/AT1G48000/AT3G48760/AT4G31800/AT3G61190",82
"GO:0009723","GO:0009723","response to ethylene","66/1974","353/20876",5.42494634111701e-08,2.76129768762856e-05,2.2251797448301e-05,"AT3G23250/AT5G57090/AT5G13330/AT5G39610/AT1G19180/AT4G29780/AT4G17500/AT1G25220/AT3G44260/AT4G18950/AT2G19560/AT1G64610/AT1G27730/AT1G74100/AT5G60360/AT4G16110/AT3G57530/AT2G15480/AT1G63720/AT1G69260/AT1G14000/AT3G55730/AT3G10640/AT5G64890/AT2G38120/AT4G08180/AT3G02800/AT1G73730/AT5G24520/AT4G13820/AT5G40440/AT1G32350/AT5G25190/AT1G05690/AT1G23710/AT1G08720/AT4G36030/AT3G05420/AT5G02840/AT1G76800/AT5G55120/AT1G21140/AT5G38895/AT4G34000/AT4G29380/AT1G05710/AT1G25560/AT2G34720/AT4G21440/AT1G17380/AT5G44990/AT1G31930/AT3G25190/AT4G34710/AT3G46590/AT5G06960/AT4G20380/AT2G37940/AT5G36890/AT3G26090/AT5G67080/AT5G47220/AT3G48760/AT5G38900/AT2G06050/AT5G04950",66
"GO:0006865","GO:0006865","amino acid transport","51/1974","255/20876",2.03308439527891e-07,4.47853100017943e-05,3.60900474905026e-05,"AT2G19190/AT2G43620/AT4G18170/AT4G22470/AT1G66160/AT1G76930/AT1G77380/AT4G02330/AT5G06860/AT3G47380/AT4G31730/AT1G79450/AT1G28380/AT1G65730/AT5G13490/AT4G30190/AT3G55740/AT2G39530/AT2G27490/AT1G78360/AT4G35180/AT4G37900/AT3G59630/AT4G11670/AT3G11900/AT2G38120/AT1G09560/AT5G19070/AT5G43190/AT3G57750/AT4G31980/AT1G62300/AT5G39090/AT1G24350/AT5G19500/AT2G39660/AT3G59700/AT1G61890/AT1G02360/AT3G20650/AT5G67340/AT4G21440/AT5G01240/AT5G48400/AT3G18250/AT3G13790/AT4G24380/AT2G44370/AT1G08230/AT1G10410/AT2G20320",51
"GO:0002252","GO:0002252","immune effector process","54/1974","280/20876",3.09596859711603e-07,4.47853100017943e-05,3.60900474905026e-05,"AT2G43620/AT3G23250/AT1G66160/AT3G11840/AT4G17500/AT5G25475/AT1G28380/AT4G22530/AT1G54440/AT1G32490/AT1G27730/AT4G33050/AT2G04660/AT5G15920/AT2G46500/AT3G63380/AT5G51700/AT4G32551/AT1G54610/AT3G08980/AT3G14980/AT1G24240/AT2G27170/AT1G48410/AT5G40440/AT2G16390/AT1G23710/AT3G60830/AT1G62300/AT2G38470/AT1G01040/AT2G39660/AT1G33060/AT5G66070/AT1G26420/AT2G23680/AT1G52310/AT4G20830/AT2G28290/AT1G02360/AT3G62970/AT5G64660/AT3G02890/AT3G57300/AT3G49250/AT3G13790/AT1G74360/AT1G61360/AT2G31320/AT2G25735/AT5G47220/AT1G18390/AT4G31800/AT5G44870",54
"GO:0015849","GO:0015849","organic acid transport","54/1974","280/20876",3.09596859711603e-07,4.47853100017943e-05,3.60900474905026e-05,"AT2G19190/AT2G43620/AT4G18170/AT4G22470/AT1G66160/AT1G76930/AT1G77380/AT4G02330/AT5G06860/AT3G47380/AT4G31730/AT1G79450/AT1G28380/AT1G65730/AT5G13490/AT4G30190/AT3G55740/AT2G34390/AT2G39530/AT2G27490/AT1G78360/AT4G35180/AT4G37900/AT3G59630/AT4G11670/AT3G11900/AT2G38120/AT1G09560/AT5G19070/AT5G19760/AT1G08430/AT5G43190/AT3G57750/AT4G31980/AT1G62300/AT5G39090/AT1G24350/AT5G19500/AT2G39660/AT3G59700/AT1G61890/AT1G02360/AT3G20650/AT5G67340/AT4G21440/AT5G01240/AT5G48400/AT3G18250/AT3G13790/AT4G24380/AT2G44370/AT1G08230/AT1G10410/AT2G20320",54
"GO:0046942","GO:0046942","carboxylic acid transport","54/1974","280/20876",3.09596859711603e-07,4.47853100017943e-05,3.60900474905026e-05,"AT2G19190/AT2G43620/AT4G18170/AT4G22470/AT1G66160/AT1G76930/AT1G77380/AT4G02330/AT5G06860/AT3G47380/AT4G31730/AT1G79450/AT1G28380/AT1G65730/AT5G13490/AT4G30190/AT3G55740/AT2G34390/AT2G39530/AT2G27490/AT1G78360/AT4G35180/AT4G37900/AT3G59630/AT4G11670/AT3G11900/AT2G38120/AT1G09560/AT5G19070/AT5G19760/AT1G08430/AT5G43190/AT3G57750/AT4G31980/AT1G62300/AT5G39090/AT1G24350/AT5G19500/AT2G39660/AT3G59700/AT1G61890/AT1G02360/AT3G20650/AT5G67340/AT4G21440/AT5G01240/AT5G48400/AT3G18250/AT3G13790/AT4G24380/AT2G44370/AT1G08230/AT1G10410/AT2G20320",54
"GO:0015711","GO:0015711","organic anion transport","57/1974","302/20876",3.11139164750208e-07,4.47853100017943e-05,3.60900474905026e-05,"AT2G19190/AT2G43620/AT4G18170/AT4G22470/AT1G66160/AT1G76930/AT1G77380/AT4G02330/AT5G06860/AT3G47380/AT4G31730/AT1G79450/AT1G28380/AT1G65730/AT5G13490/AT4G30190/AT3G55740/AT2G34390/AT2G39530/AT2G27490/AT1G78360/AT4G35180/AT4G37900/AT3G59630/AT4G23010/AT4G11670/AT3G11900/AT2G38120/AT1G09560/AT5G19070/AT5G19760/AT1G08430/AT5G61810/AT5G43190/AT3G57750/AT4G31980/AT1G62300/AT5G39090/AT1G24350/AT5G19500/AT2G39660/AT3G59700/AT4G39850/AT1G61890/AT1G02360/AT3G20650/AT5G67340/AT4G21440/AT5G01240/AT5G48400/AT3G18250/AT3G13790/AT4G24380/AT2G44370/AT1G08230/AT1G10410/AT2G20320",57
"GO:0080135","GO:0080135","regulation of cellular response to stress","68/1974","385/20876",3.22618474145211e-07,4.47853100017943e-05,3.60900474905026e-05,"AT2G19190/AT1G51680/AT1G77380/AT5G01540/AT5G06860/AT3G47380/AT1G19180/AT3G11840/AT3G22160/AT1G28380/AT1G51890/AT4G18950/AT5G13490/AT1G64610/AT1G05010/AT4G33050/AT2G28660/AT2G46500/AT3G05480/AT3G57530/AT4G38550/AT2G40270/AT1G69260/AT1G14000/AT3G10640/AT4G11330/AT4G08180/AT1G27100/AT1G73730/AT1G08940/AT5G24520/AT2G23080/AT2G30250/AT5G45410/AT1G11310/AT4G36030/AT2G38470/AT2G39660/AT5G06870/AT5G06290/AT5G55120/AT2G21560/AT3G16340/AT3G06110/AT1G02170/AT2G23680/AT1G22400/AT4G20830/AT2G44490/AT5G67340/AT3G19010/AT1G33600/AT1G59870/AT4G16760/AT3G19370/AT3G16730/AT3G17700/AT4G05590/AT3G57300/AT1G61660/AT4G34710/AT3G09830/AT1G74360/AT5G66130/AT5G63710/AT2G37940/AT1G07640/AT5G40450",68
"GO:0009611","GO:0009611","response to wounding","61/1974","335/20876",4.43545781444621e-07,5.38063121808904e-05,4.33595829038437e-05,"AT3G23250/AT1G51680/AT4G24570/AT1G76930/AT1G19180/AT4G13300/AT4G29780/AT4G14880/AT3G50760/AT1G72450/AT3G44260/AT4G18950/AT4G34050/AT1G22410/AT3G17860/AT1G27730/AT5G43580/AT3G21240/AT1G74100/AT5G24760/AT5G07010/AT2G46500/AT3G57530/AT1G69260/AT3G50930/AT1G31710/AT5G47910/AT3G24550/AT5G37770/AT4G23850/AT1G23710/AT5G13710/AT3G10930/AT1G18150/AT5G55120/AT3G53260/AT1G62660/AT3G16340/AT5G24090/AT1G79380/AT4G20830/AT2G22330/AT2G28290/AT5G67340/AT4G21440/AT1G17380/AT4G16760/AT4G34710/AT3G13790/AT3G51460/AT4G24380/AT5G08790/AT1G07640/AT3G16470/AT3G25250/AT3G26090/AT2G25735/AT3G02470/AT2G02220/AT3G61190/AT2G06050",61
