"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0036294","GO:0036294","cellular response to decreased oxygen levels","15/1563","26/20876",4.28101999183617e-11,2.69830094983786e-08,2.3772216606123e-08,"AT3G03670/AT1G19250/AT2G44800/AT1G26380/AT5G57220/AT1G57630/AT5G25250/AT2G23270/AT1G76560/AT1G14540/AT2G26560/AT1G53620/AT1G72360/AT4G19520/AT5G26920",15
"GO:0071453","GO:0071453","cellular response to oxygen levels","15/1563","26/20876",4.28101999183617e-11,2.69830094983786e-08,2.3772216606123e-08,"AT3G03670/AT1G19250/AT2G44800/AT1G26380/AT5G57220/AT1G57630/AT5G25250/AT2G23270/AT1G76560/AT1G14540/AT2G26560/AT1G53620/AT1G72360/AT4G19520/AT5G26920",15
"GO:0010200","GO:0010200","response to chitin","71/1563","421/20876",7.88682280221154e-11,2.69830094983786e-08,2.3772216606123e-08,"AT5G37490/AT1G07135/AT4G11280/AT3G26830/AT3G52400/AT1G18570/AT3G28930/AT5G22570/AT3G02840/AT4G26120/AT3G09010/AT4G32440/AT4G12720/AT4G33920/AT2G32030/AT1G28370/AT3G02850/AT1G76650/AT5G14930/AT1G66090/AT3G46600/AT1G72520/AT2G35000/AT3G59080/AT1G70140/AT3G21630/AT5G57220/AT1G71400/AT3G52450/AT2G41100/AT3G47480/AT1G66880/AT3G45640/AT2G35930/AT3G54420/AT5G05190/AT5G39020/AT3G19380/AT5G47850/AT1G42990/AT1G24140/AT1G08930/AT3G27890/AT2G26560/AT5G45340/AT5G46910/AT2G18690/AT3G01480/AT5G48655/AT5G01830/AT3G62720/AT5G64870/AT5G56960/AT1G18740/AT4G31550/AT2G39200/AT4G33430/AT5G05730/AT5G45630/AT3G55980/AT4G01010/AT3G54640/AT5G11650/AT4G26070/AT5G05300/AT3G09020/AT3G61980/AT3G61190/AT5G26920/AT4G17490/AT4G29810",71
"GO:0009723","GO:0009723","response to ethylene","63/1563","353/20876",8.44257767898929e-11,2.69830094983786e-08,2.3772216606123e-08,"AT4G34390/AT4G11280/AT3G26830/AT3G52400/AT1G18570/AT3G28930/AT4G15430/AT3G49850/AT5G24520/AT2G43000/AT5G03730/AT5G12930/AT4G17615/AT5G40990/AT2G32030/AT1G28370/AT1G76650/AT4G19370/AT1G79680/AT3G12900/AT5G38820/AT3G48890/AT1G26380/AT3G21780/AT1G72520/AT5G10520/AT5G40440/AT2G31730/AT4G25720/AT5G57220/AT1G30270/AT2G23270/AT5G47730/AT4G37290/AT5G18490/AT4G19690/AT1G56160/AT4G34000/AT2G46270/AT1G42990/AT2G20010/AT1G05710/AT5G27320/AT2G26560/AT2G21240/AT1G31930/AT5G45710/AT3G46590/AT1G01560/AT1G49950/AT2G28210/AT1G49820/AT1G72360/AT5G64870/AT4G20380/AT1G11050/AT4G25030/AT3G53280/AT5G05730/AT3G55980/AT2G17290/AT2G29410/AT4G17490",63
"GO:0002682","GO:0002682","regulation of immune system process","71/1563","424/20876",1.09621759344085e-10,2.69830094983786e-08,2.3772216606123e-08,"AT4G34390/AT3G26830/AT3G52400/AT1G18570/AT3G28930/AT5G22570/AT3G02840/AT5G24520/AT3G10260/AT3G25070/AT4G17615/AT4G12720/AT4G38550/AT4G33920/AT3G44720/AT5G40990/AT2G36470/AT1G28370/AT1G19250/AT1G51890/AT5G13190/AT1G66090/AT3G55470/AT4G33300/AT5G40440/AT3G21630/AT3G14150/AT1G08050/AT1G57630/AT5G27950/AT5G50440/AT2G41100/AT3G25040/AT3G47480/AT1G66880/AT3G45640/AT2G35930/AT3G56240/AT2G27500/AT1G56160/AT5G39020/AT1G74640/AT1G42990/AT2G20010/AT3G27890/AT2G26560/AT5G67340/AT2G31070/AT2G26170/AT2G18690/AT3G01480/AT1G13110/AT1G01560/AT1G51680/AT1G18740/AT5G62570/AT3G18690/AT3G23000/AT4G33430/AT3G01860/AT4G25030/AT1G03080/AT5G05730/AT4G01010/AT3G54640/AT2G17290/AT4G26070/AT3G09020/AT5G26920/AT4G29810/AT5G35620",71
"GO:0009626","GO:0009626","plant-type hypersensitive response","68/1563","400/20876",1.38824888855029e-10,2.69830094983786e-08,2.3772216606123e-08,"AT4G34390/AT3G26830/AT3G52400/AT1G18570/AT3G28930/AT5G22570/AT3G02840/AT5G24520/AT3G10260/AT3G25070/AT4G17615/AT4G12720/AT4G38550/AT4G33920/AT3G44720/AT2G36470/AT1G28370/AT1G19250/AT1G51890/AT5G13190/AT3G20600/AT1G66090/AT3G55470/AT1G12220/AT4G33300/AT3G46530/AT3G21630/AT1G08050/AT1G57630/AT5G27950/AT2G41100/AT3G47480/AT1G66880/AT3G45640/AT2G35930/AT3G56240/AT2G27500/AT3G54420/AT5G39020/AT1G74640/AT1G42990/AT2G20010/AT3G27890/AT2G26560/AT5G67340/AT2G31070/AT2G26170/AT2G18690/AT3G01480/AT1G13110/AT1G01560/AT4G20380/AT1G51680/AT1G18740/AT3G23000/AT4G33430/AT3G01860/AT4G25030/AT1G03080/AT5G05730/AT4G01010/AT3G54640/AT2G17290/AT4G26070/AT4G03110/AT3G09020/AT5G26920/AT4G29810",68
"GO:0034050","GO:0034050","host programmed cell death induced by symbiont","68/1563","401/20876",1.55249166117155e-10,2.69830094983786e-08,2.3772216606123e-08,"AT4G34390/AT3G26830/AT3G52400/AT1G18570/AT3G28930/AT5G22570/AT3G02840/AT5G24520/AT3G10260/AT3G25070/AT4G17615/AT4G12720/AT4G38550/AT4G33920/AT3G44720/AT2G36470/AT1G28370/AT1G19250/AT1G51890/AT5G13190/AT3G20600/AT1G66090/AT3G55470/AT1G12220/AT4G33300/AT3G46530/AT3G21630/AT1G08050/AT1G57630/AT5G27950/AT2G41100/AT3G47480/AT1G66880/AT3G45640/AT2G35930/AT3G56240/AT2G27500/AT3G54420/AT5G39020/AT1G74640/AT1G42990/AT2G20010/AT3G27890/AT2G26560/AT5G67340/AT2G31070/AT2G26170/AT2G18690/AT3G01480/AT1G13110/AT1G01560/AT4G20380/AT1G51680/AT1G18740/AT3G23000/AT4G33430/AT3G01860/AT4G25030/AT1G03080/AT5G05730/AT4G01010/AT3G54640/AT2G17290/AT4G26070/AT4G03110/AT3G09020/AT5G26920/AT4G29810",68
"GO:0071456","GO:0071456","cellular response to hypoxia","14/1563","24/20876",1.57746817570674e-10,2.69830094983786e-08,2.3772216606123e-08,"AT3G03670/AT1G19250/AT2G44800/AT1G26380/AT5G57220/AT1G57630/AT5G25250/AT2G23270/AT1G14540/AT2G26560/AT1G53620/AT1G72360/AT4G19520/AT5G26920",14
"GO:0045088","GO:0045088","regulation of innate immune response","70/1563","419/20876",1.64977639596065e-10,2.69830094983786e-08,2.3772216606123e-08,"AT4G34390/AT3G26830/AT3G52400/AT1G18570/AT3G28930/AT5G22570/AT3G02840/AT5G24520/AT3G10260/AT3G25070/AT4G17615/AT4G12720/AT4G38550/AT4G33920/AT3G44720/AT5G40990/AT2G36470/AT1G28370/AT1G19250/AT1G51890/AT5G13190/AT1G66090/AT3G55470/AT4G33300/AT5G40440/AT3G21630/AT3G14150/AT1G08050/AT1G57630/AT5G27950/AT5G50440/AT2G41100/AT3G25040/AT3G47480/AT1G66880/AT3G45640/AT2G35930/AT3G56240/AT2G27500/AT1G56160/AT5G39020/AT1G74640/AT1G42990/AT2G20010/AT3G27890/AT2G26560/AT5G67340/AT2G31070/AT2G26170/AT2G18690/AT3G01480/AT1G13110/AT1G01560/AT1G51680/AT1G18740/AT5G62570/AT3G18690/AT3G23000/AT4G33430/AT3G01860/AT4G25030/AT1G03080/AT5G05730/AT4G01010/AT3G54640/AT2G17290/AT4G26070/AT3G09020/AT5G26920/AT4G29810",70
"GO:0006612","GO:0006612","protein targeting to membrane","61/1563","374/20876",6.34510022529764e-09,5.18888196202118e-07,4.57144063015596e-07,"AT4G34390/AT3G26830/AT3G52400/AT1G18570/AT3G28930/AT5G22570/AT3G02840/AT5G24520/AT3G10260/AT4G17615/AT4G12720/AT4G38550/AT4G33920/AT3G44720/AT2G36470/AT1G28370/AT5G49500/AT1G51890/AT5G13190/AT1G66090/AT3G55470/AT4G33300/AT3G21630/AT1G08050/AT1G57630/AT5G27950/AT2G41100/AT3G47480/AT1G66880/AT3G45640/AT2G35930/AT3G56240/AT2G27500/AT5G39020/AT1G74640/AT1G42990/AT2G20010/AT3G27890/AT2G26560/AT5G67340/AT2G31070/AT2G26170/AT2G18690/AT3G01480/AT1G13110/AT1G01560/AT1G51680/AT1G18740/AT3G23000/AT4G33430/AT3G01860/AT4G25030/AT1G03080/AT5G05730/AT4G01010/AT3G54640/AT2G17290/AT4G26070/AT3G09020/AT5G26920/AT4G29810",61
"GO:0080135","GO:0080135","regulation of cellular response to stress","62/1563","385/20876",7.86179418665025e-09,6.05814770867624e-07,5.33726972045848e-07,"AT4G34390/AT3G26830/AT3G52400/AT1G18570/AT3G28930/AT5G22570/AT3G02840/AT5G24520/AT3G10260/AT3G13226/AT3G25070/AT4G17615/AT4G12720/AT4G38550/AT4G33920/AT3G44720/AT2G36470/AT1G28370/AT1G51890/AT5G13190/AT1G66090/AT3G55470/AT4G33300/AT3G21630/AT1G08050/AT1G57630/AT5G27950/AT2G41100/AT3G47480/AT1G66880/AT3G45640/AT2G35930/AT3G56240/AT2G27500/AT5G39020/AT1G74640/AT1G42990/AT2G20010/AT3G27890/AT2G26560/AT5G67340/AT2G31070/AT2G26170/AT2G18690/AT3G01480/AT1G13110/AT1G01560/AT1G51680/AT1G18740/AT3G23000/AT4G33430/AT3G01860/AT4G25030/AT1G03080/AT5G05730/AT4G01010/AT3G54640/AT2G17290/AT4G26070/AT3G09020/AT5G26920/AT4G29810",62
"GO:0015706","GO:0015706","nitrate transport","40/1563","206/20876",2.10609255030739e-08,1.34789923219673e-06,1.18750847687812e-06,"AT5G01490/AT5G51160/AT3G27150/AT5G07080/AT2G44380/AT2G44790/AT3G45650/AT3G09290/AT1G74770/AT4G05200/AT1G51840/AT2G34830/AT1G08670/AT4G13660/AT1G17860/AT3G19930/AT4G38830/AT5G44610/AT1G13100/AT4G12330/AT3G50740/AT5G20050/AT3G47040/AT1G50560/AT4G19690/AT3G54420/AT5G59540/AT5G59520/AT3G27890/AT1G13110/AT4G23470/AT2G14100/AT4G15400/AT1G18970/AT4G30060/AT1G16370/AT3G58810/AT5G19970/AT2G28960/AT1G52200",40
"GO:0009697","GO:0009697","salicylic acid biosynthetic process","40/1563","209/20876",3.2037590975189e-08,1.96497224647826e-06,1.73115403865933e-06,"AT4G34390/AT3G26830/AT3G52400/AT1G18570/AT3G28930/AT5G22570/AT4G26120/AT4G12720/AT2G36470/AT5G14930/AT1G66090/AT3G21630/AT1G08050/AT1G57630/AT3G47480/AT5G58940/AT1G66880/AT3G45640/AT1G24150/AT5G39020/AT3G27890/AT2G26560/AT5G67340/AT3G59660/AT5G08280/AT3G01480/AT3G07720/AT1G01560/AT4G23470/AT2G11520/AT5G05730/AT4G01010/AT3G54640/AT4G26070/AT3G17410/AT3G09020/AT2G45760/AT5G26920/AT2G34940/AT4G29810",40
"GO:0071407","GO:0071407","cellular response to organic cyclic compound","61/1563","393/20876",4.16481934793694e-08,2.22344734981519e-06,1.9588723791278e-06,"AT4G34390/AT3G26830/AT3G52400/AT1G18570/AT3G28930/AT5G09290/AT5G22570/AT4G26120/AT4G17615/AT4G12720/AT5G11920/AT2G36470/AT1G28370/AT3G28510/AT3G46290/AT1G22300/AT5G14930/AT1G51890/AT5G01900/AT5G13190/AT1G66090/AT4G39640/AT1G08050/AT1G57630/AT4G16890/AT3G47480/AT1G66880/AT3G45640/AT2G35930/AT2G27500/AT5G39020/AT1G74640/AT4G34000/AT1G42990/AT2G20010/AT3G27890/AT5G27320/AT2G26560/AT5G67340/AT2G31070/AT2G18690/AT3G01480/AT5G36970/AT1G01560/AT4G23470/AT2G11520/AT4G20380/AT4G33430/AT4G15400/AT5G05730/AT4G01010/AT3G54640/AT2G17290/AT5G46570/AT4G28720/AT4G26070/AT4G03110/AT3G17410/AT3G09020/AT5G26920/AT4G29810",61
"GO:0006986","GO:0006986","response to unfolded protein","37/1563","187/20876",4.22938354584411e-08,2.22344734981519e-06,1.9588723791278e-06,"AT4G34390/AT3G52400/AT3G13430/AT3G02840/AT3G51890/AT4G17615/AT4G12720/AT4G33920/AT1G28370/AT3G28340/AT5G41100/AT5G14930/AT5G13190/AT2G31370/AT3G21630/AT1G08050/AT4G35040/AT5G06839/AT2G21230/AT2G18680/AT2G46270/AT1G42990/AT2G20010/AT1G24140/AT5G67340/AT4G35900/AT1G01560/AT2G11520/AT5G44080/AT5G62570/AT4G33430/AT4G25030/AT2G17290/AT3G54100/AT5G62390/AT3G17410/AT4G29810",37
"GO:0034620","GO:0034620","cellular response to unfolded protein","37/1563","187/20876",4.22938354584411e-08,2.22344734981519e-06,1.9588723791278e-06,"AT4G34390/AT3G52400/AT3G13430/AT3G02840/AT3G51890/AT4G17615/AT4G12720/AT4G33920/AT1G28370/AT3G28340/AT5G41100/AT5G14930/AT5G13190/AT2G31370/AT3G21630/AT1G08050/AT4G35040/AT5G06839/AT2G21230/AT2G18680/AT2G46270/AT1G42990/AT2G20010/AT1G24140/AT5G67340/AT4G35900/AT1G01560/AT2G11520/AT5G44080/AT5G62570/AT4G33430/AT4G25030/AT2G17290/AT3G54100/AT5G62390/AT3G17410/AT4G29810",37
"GO:0035967","GO:0035967","cellular response to topologically incorrect protein","37/1563","187/20876",4.22938354584411e-08,2.22344734981519e-06,1.9588723791278e-06,"AT4G34390/AT3G52400/AT3G13430/AT3G02840/AT3G51890/AT4G17615/AT4G12720/AT4G33920/AT1G28370/AT3G28340/AT5G41100/AT5G14930/AT5G13190/AT2G31370/AT3G21630/AT1G08050/AT4G35040/AT5G06839/AT2G21230/AT2G18680/AT2G46270/AT1G42990/AT2G20010/AT1G24140/AT5G67340/AT4G35900/AT1G01560/AT2G11520/AT5G44080/AT5G62570/AT4G33430/AT4G25030/AT2G17290/AT3G54100/AT5G62390/AT3G17410/AT4G29810",37
"GO:0010167","GO:0010167","response to nitrate","38/1563","197/20876",5.65849657772969e-08,2.77643565413937e-06,2.44605887149578e-06,"AT5G01490/AT5G51160/AT3G27150/AT5G07080/AT2G44380/AT2G44790/AT3G09290/AT1G74770/AT4G05200/AT1G51840/AT2G34830/AT1G08670/AT4G13660/AT1G17860/AT3G19930/AT4G38830/AT5G44610/AT1G13100/AT4G12330/AT3G50740/AT5G20050/AT3G47040/AT1G50560/AT4G19690/AT3G54420/AT5G59540/AT5G59520/AT3G27890/AT1G13110/AT4G23470/AT2G14100/AT4G15400/AT1G18970/AT4G30060/AT3G58810/AT5G19970/AT2G28960/AT1G52200",38
"GO:0017000","GO:0017000","antibiotic biosynthetic process","48/1563","288/20876",1.31467198487577e-07,5.36826152303713e-06,4.72947525484964e-06,"AT4G34390/AT3G26830/AT3G52400/AT1G18570/AT3G28930/AT5G22570/AT4G26120/AT4G12720/AT5G12290/AT2G36470/AT5G59160/AT5G14930/AT1G66090/AT3G21630/AT3G14150/AT5G44750/AT1G08050/AT1G57630/AT5G24350/AT3G47480/AT5G58940/AT5G43320/AT1G66880/AT3G45640/AT1G24150/AT5G39020/AT3G27890/AT2G26560/AT2G28200/AT5G67340/AT3G59660/AT5G08280/AT3G01480/AT3G07720/AT1G01560/AT4G23470/AT2G11520/AT5G05730/AT4G01010/AT3G54640/AT4G26070/AT3G17410/AT5G16300/AT3G09020/AT2G45760/AT5G26920/AT2G34940/AT4G29810",48
"GO:0050832","GO:0050832","defense response to fungus","55/1563","351/20876",1.38917872668751e-07,5.36826152303713e-06,4.72947525484964e-06,"AT1G61560/AT3G26830/AT3G52400/AT1G18570/AT3G28930/AT5G22570/AT3G02840/AT2G23620/AT2G22300/AT4G17615/AT4G12720/AT5G40990/AT2G36470/AT2G32030/AT1G28370/AT3G02850/AT1G19250/AT1G51890/AT3G20600/AT1G66090/AT2G35000/AT3G59080/AT3G21630/AT1G08050/AT5G57220/AT3G47480/AT1G66880/AT4G16860/AT3G45640/AT2G35930/AT5G39020/AT1G42990/AT2G20010/AT3G27890/AT2G26560/AT5G67340/AT2G18690/AT3G01480/AT1G01560/AT2G39200/AT4G33430/AT5G05730/AT3G55980/AT2G03070/AT4G01010/AT3G54640/AT2G17290/AT3G05710/AT4G26070/AT5G05300/AT3G09020/AT4G24230/AT5G26920/AT2G02930/AT4G29810",55
"GO:0009692","GO:0009692","ethylene metabolic process","27/1563","119/20876",1.56817422208286e-07,5.36826152303713e-06,4.72947525484964e-06,"AT5G37490/AT4G11280/AT2G46620/AT2G15390/AT3G02840/AT3G18930/AT2G32030/AT1G80360/AT4G19370/AT1G22280/AT4G16820/AT4G37290/AT5G18490/AT1G01480/AT5G47850/AT1G42990/AT1G24140/AT1G02500/AT3G06500/AT1G11050/AT4G26470/AT3G55980/AT4G01010/AT5G05300/AT5G65800/AT2G45760/AT1G35210",27
