cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,category,term,size
18.881672366300755,0,10.45644886792212,0,15.04113523328495,0,0,0,0,0,GO:0006952,defense response,701
15.258013825261406,0,0,0,0,0,0,0,0,0,GO:0009664,plant-type cell wall organization,66
13.230389618538881,0,0,0,0,0,0,0,0,0,GO:0080147,root hair cell development,32
12.579660829212877,0,0,0,0,0,0,4.564015362195198,0,0,GO:0042744,hydrogen peroxide catabolic process,103
12.210955932792432,0,0,0,0,0,0,0,0,0,GO:0032482,Rab protein signal transduction,70
12.138769428625642,0,0,0,0,0,0,0,0,0,GO:0048765,root hair cell differentiation,21
11.92446070499993,0,0,0,15.103032032648429,0,0,0,0,0,GO:0016310,phosphorylation,514
10.407952442101488,0,0,0,0,0,0,0,0,0,GO:0009086,methionine biosynthetic process,24
10.272179018039555,0,0,0,0,0,0,0,0,0,GO:0006904,vesicle docking involved in exocytosis,39
9.975900170588517,0,4.616183728341437,0,10.68734622321409,0,0,0,0,0,GO:0007165,signal transduction,410
9.609592546713744,0,0,0,0,0,0,0,0,0,GO:0048767,root hair elongation,69
9.55161054949858,0,6.58166279423628,6.947499346816975,17.022460319944486,0,6.085974544278525,0,0,0,GO:0006468,protein phosphorylation,1020
9.532140202548618,0,0,0,0,0,0,0,0,0,GO:0010082,regulation of root meristem growth,36
9.360095495647638,0,0,0,0,0,0,0,0,0,GO:0042546,cell wall biogenesis,52
9.28726150723411,0,0,0,5.006972598314809,0,0,0,0,0,GO:0006886,intracellular protein transport,321
9.107546532216302,0,0,0,0,0,0,0,0,0,GO:0032012,regulation of ARF protein signal transduction,6
9.031364268156747,0,0,0,4.847039154801,0,0,0,6.777762782107647,0,GO:0006890,"retrograde vesicle-mediated transport, Golgi to ER",54
8.960695321191592,0,0,0,0,0,0,0,0,0,GO:0001682,tRNA 5'-leader removal,6
8.800242111873645,0,0,5.753359549326369,0,0,0,0,0,0,GO:0010105,negative regulation of ethylene-activated signaling pathway,18
8.66766322885408,0,0,0,0,0,0,0,0,0,GO:0048768,root hair cell tip growth,33
8.534425743915385,0,0,0,0,0,0,0,0,0,GO:0071577,zinc ion transmembrane transport,23
8.514976072434022,0,0,0,0,0,0,0,0,0,GO:0009625,response to insect,28
8.488456028901599,0,0,0,0,0,0,0,0,0,GO:0009808,lignin metabolic process,14
8.394954875211376,0,0,0,0,0,0,0,0,0,GO:0033386,geranylgeranyl diphosphate biosynthetic process,10
7.368680897998041,0,0,0,0,0,0,0,0,0,GO:0051225,spindle assembly,37
7.1873973553182005,0,0,0,0,0,0,0,0,0,GO:0010091,trichome branching,32
7.16088298907118,0,0,0,0,0,0,0,0,0,GO:0006102,isocitrate metabolic process,12
7.1293027453482996,0,0,0,0,0,0,0,0,0,GO:0007098,centrosome cycle,12
7.110417061760135,0,0,0,0,0,0,0,0,0,GO:0009846,pollen germination,81
7.061718530504968,0,0,0,0,0,0,0,0,0,GO:0070212,protein poly-ADP-ribosylation,8
7.0384969221886875,0,0,0,0,0,0,0,0,0,GO:0015700,arsenite transport,8
6.850193976447832,0,0,0,0,0,0,0,0,0,GO:0009873,ethylene-activated signaling pathway,184
6.821624428757331,0,0,0,0,0,0,0,0,0,GO:0006486,protein glycosylation,129
6.6256932123141,0,0,0,0,0,8.033266351129301,0,0,0,GO:0071555,cell wall organization,283
6.582919487120192,0,0,0,0,0,0,0,0,0,GO:0003006,developmental process involved in reproduction,13
6.485251080916425,0,0,0,0,0,0,0,0,0,GO:0033384,geranyl diphosphate biosynthetic process,13
6.485251080916425,0,0,0,0,0,0,0,0,0,GO:0045337,farnesyl diphosphate biosynthetic process,13
6.228869883582807,0,0,0,0,0,0,0,0,0,GO:0016192,vesicle-mediated transport,198
6.1261417546918135,0,0,0,0,0,0,0,0,0,GO:0080092,regulation of pollen tube growth,14
6.111382158656605,0,0,0,0,0,0,0,0,0,GO:0009932,cell tip growth,14
6.065288761577467,0,0,0,0,0,0,0,0,0,GO:0009699,phenylpropanoid biosynthetic process,14
6.04638311902216,0,0,0,0,0,0,6.287526318845916,0,0,GO:0006865,amino acid transport,54
6.030518760822222,0,0,0,0,0,0,0,0,0,GO:0018105,peptidyl-serine phosphorylation,108
5.9709001564096775,0,0,5.714452203602703,0,0,0,0,0,0,GO:0006506,GPI anchor biosynthetic process,36
5.751933830814537,0,0,0,5.085256523813708,0,0,0,0,0,GO:0033215,iron assimilation by reduction and transport,10
