ID,Path,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,Flg22_vs_Mock,Flg22_SynCom33_vs_Mock,Flg22_SynCom35_vs_Mock,cl
AT1G63970.1,ARA:NONMEVIPP-PWY,ISPF,1,23738673,23740384,-,1711,protein_coding,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9CAK8]",0.1243355175031777,0.5658383946350473,0.36596863376481664,0.9398740652340082,0.9860168054019907,-0.018206327425937162,0.6798188210997234,0.9110004002562028,-0.09958300364615175,0,0,0,7
AT1G79690.1,ARA:NONMEVIPP-PWY,NUDT3,1,29985046,29990388,+,5342,protein_coding,NUDT3 [Source:UniProtKB/TrEMBL;Acc:A0A178WDC8],0.003410302571780305,0.07741165748633559,0.2599133531994167,8.325625505184934e-4,0.01950137544049007,0.2964331908221907,0.926640495112621,0.9831150569509365,-0.008215563424403534,0,0,0,9
AT1G79690.2,ARA:NONMEVIPP-PWY,NUDT3,1,29985129,29990171,+,5042,protein_coding,NUDT3 [Source:UniProtKB/TrEMBL;Acc:A0A178WDC8],0.5474552296313828,0.8969773435341416,-0.06974827833849706,0.03710084919029344,0.23801974319893926,-0.24246927457975173,0.18153668566294287,0.57936903373482,-0.15492100447590446,0,0,0,3
AT2G02497.1,ARA:NONMEVIPP-PWY,,2,668920,670055,-,1135,protein_coding,,0.713858530413495,NA,-0.5674216902575339,0.8585787750956825,NA,0.2621477758637711,0.9921133936085299,NA,0.01465773465401656,0,0,0,10
AT2G02500.1,ARA:NONMEVIPP-PWY,ISPD,2,670461,673251,-,2790,protein_coding,"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P69834]",0.1330015433078363,0.5801664929371876,-0.8225904738833785,0.7905522705632124,0.9414981393949176,-0.14354158833280495,0.6720175181009029,0.9079207329477419,0.227416538840766,0,0,0,1
AT2G02500.2,ARA:NONMEVIPP-PWY,ISPD,2,670497,673327,-,2830,protein_coding,"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P69834]",0.30975325464919706,0.7762815080950755,0.8946716962474136,0.7159161586762691,0.9181459938712594,-0.32510167018642283,0.8279335353256863,0.957267260592803,0.19254431705785205,0,0,0,7
AT2G26930.1,ARA:NONMEVIPP-PWY,ISPE,2,11491707,11494290,-,2583,protein_coding,PDE277 [Source:UniProtKB/TrEMBL;Acc:A0A178VZZ2],0.48954241240712515,0.8765829450096213,0.16309869074399944,0.7862679067006184,0.9408094867507961,0.0643770728598459,0.06681620856375298,0.3683465503269407,0.42563392384842025,0,0,0,4
AT3G02780.1,ARA:NONMEVIPP-PWY,IPP2,3,602401,605506,-,3105,protein_coding,"Isopentenyl-diphosphate Delta-isomerase II, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q42553]",3.5649139360638143e-6,4.8052083149102855e-4,0.6816173418525889,3.427320788947971e-6,2.7229894641213743e-4,0.6828789640348321,0.12626083977819247,0.49796447268586136,0.2257603585523881,0,0,0,9
AT3G02780.2,ARA:NONMEVIPP-PWY,IPP2,3,602431,604744,-,2313,protein_coding,"Isopentenyl-diphosphate Delta-isomerase II, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q42553]",0.001695453542830372,0.048709076090483645,0.2084645204552525,0.031905479896196416,0.21768606867247514,0.1426788790374222,8.157688986577853e-4,0.02279397516987107,-0.22377561028200085,0,0,0,9
AT4G15560.1,ARA:NONMEVIPP-PWY,DXS,4,8883825,8887667,+,3842,protein_coding,DXS1 [Source:UniProtKB/TrEMBL;Acc:A0A178V5I0],0.0011620226015380806,0.037980647714916195,-0.4228076323373176,0.02849258113144144,0.20485091360668864,-0.28459466233707864,0.006103181914811129,0.09293060158640895,0.35335201464781535,0,0,0,4
AT4G34350.1,ARA:NONMEVIPP-PWY,ISPH,4,16428407,16431144,-,2737,protein_coding,"4-hydroxy-3-methylbut-2-enyl diphosphate reductase, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q94B35]",0.8414531801201214,0.9724006797377865,0.0474400784049301,0.46303393501467216,0.7905287377712255,0.1739810707304767,0.815630061330114,0.9539312769296385,0.05528379197565776,0,0,0,1
AT5G11380.2,ARA:NONMEVIPP-PWY,DXPS3,5,3629988,3633488,+,3500,protein_coding,1-D-deoxyxylulose 5-phosphate synthase-like protein [Source:UniProtKB/TrEMBL;Acc:Q9LFL9],0.9371221588169764,0.991619555940246,-0.05644595085038977,0.7004310676561083,0.9120362296309761,0.2744277560216719,0.919992667097207,0.9815185128103092,-0.07182156664728286,0,0,0,10
