Cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Ka-Wai3-Paulo1,GO:0006865,amino acid transport,12/44,255/20876,1.2702068344338924e-13,2.6801364206555128e-11,1.3504304239770857e-11,AT2G19190/AT2G43620/AT4G18170/AT4G22470/AT1G66160/AT1G76930/AT4G02330/AT5G06860/AT3G47380/AT2G39530/AT1G02360/AT2G44370,12
Ka-Wai3-Paulo1,GO:0015849,organic acid transport,12/44,280/20876,3.855659947516216e-13,2.7118141630864053e-11,1.366391770874168e-11,AT2G19190/AT2G43620/AT4G18170/AT4G22470/AT1G66160/AT1G76930/AT4G02330/AT5G06860/AT3G47380/AT2G39530/AT1G02360/AT2G44370,12
Ka-Wai3-Paulo1,GO:0046942,carboxylic acid transport,12/44,280/20876,3.855659947516216e-13,2.7118141630864053e-11,1.366391770874168e-11,AT2G19190/AT2G43620/AT4G18170/AT4G22470/AT1G66160/AT1G76930/AT4G02330/AT5G06860/AT3G47380/AT2G39530/AT1G02360/AT2G44370,12
Ka-Wai3-Paulo1,GO:0015711,organic anion transport,12/44,302/20876,9.424821607954777e-13,4.971593398196145e-11,2.5050183747458754e-11,AT2G19190/AT2G43620/AT4G18170/AT4G22470/AT1G66160/AT1G76930/AT4G02330/AT5G06860/AT3G47380/AT2G39530/AT1G02360/AT2G44370,12
Ka-Wai3-Paulo1,GO:0009753,response to jasmonic acid,10/44,474/20876,4.1164320869479803e-8,1.7371343406920478e-6,8.752834542773602e-7,AT2G19190/AT1G76930/AT5G13330/AT5G39610/AT5G01540/AT5G06860/AT3G47380/AT3G50760/AT4G18950/AT2G38470,10
Ka-Wai3-Paulo1,GO:0010200,response to chitin,9/44,421/20876,1.9223049909075127e-7,6.760105884691419e-6,3.40618954529226e-6,AT2G19190/AT2G43620/AT1G66160/AT5G01540/AT3G47380/AT4G18950/AT2G38470/AT4G20830/AT1G02360,9
Ka-Wai3-Paulo1,GO:0010243,response to organonitrogen compound,9/44,443/20876,2.9524592314501287e-7,8.899555683371102e-6,4.48418620114982e-6,AT2G19190/AT2G43620/AT1G66160/AT5G01540/AT3G47380/AT4G18950/AT2G38470/AT4G20830/AT1G02360,9
Ka-Wai3-Paulo1,GO:0009404,toxin metabolic process,7/44,223/20876,3.9560263075972405e-7,1.0434019386287721e-5,5.257350750885807e-6,AT4G18170/AT1G69920/AT1G02930/AT2G29460/AT5G13330/AT2G38470/AT1G02920,7
Ka-Wai3-Paulo1,GO:0015824,proline transport,5/44,74/20876,4.757238473197481e-7,1.0787587978358253e-5,5.435502049459634e-6,AT2G43620/AT4G22470/AT1G66160/AT4G02330/AT3G47380,5
Ka-Wai3-Paulo1,GO:0009751,response to salicylic acid,9/44,473/20876,5.112600937610546e-7,1.0787587978358253e-5,5.435502049459634e-6,AT2G19190/AT5G24110/AT1G76930/AT5G13330/AT5G01540/AT5G06860/AT3G47380/AT4G18950/AT2G38470,9
