pwer176	pwer150	pwer69	pwer174	pwer135	pwer180	pwer119	pwer149	pwer125	pwer173	pwer120	pwer175	pwer75	pwer171	pwer111	pwer123	pwer68	pwer79	pwer118	pwer178	pwer58	pwer110	pwer168	pwer170	pwer97	pwer78	pwer127	pwer102	pwer145	pwer82	pwer139	pwer181	pwer107	pwer60	pwer101	pwer158	pwer156	pwer81	pwer109	pwer85	pwer129	pwer148	pwer65	pwer80	pwer137	pwer169	pwer76	pwer92	pwer159	pwer86	pwer112	pwer151	pwer106	pwer136	pwer179	pwer52	pwer34	pwer47	pwer26	pwer134	pwer71	pwer63	pwer155	pwer165	pwer142	pwer163	pwer89	pwer84	pwer17	pwer177	pwer100	pwer62	pwer90	pwer61	pwer77	pwer164	pwer93	pwer122	pwer121	pwer182	pwer116	pwer144	pwer114	pwer72	pwer74	pwer70	pwer143	pwer147	pwer133	pwer19	pwer115	pwer96	pwer138	pwer166	pwer50	pwer146	pwer73	pwer167	pwer126	pwer141	pwer91	pwer162	pwer132	pwer88	pwer12	pwer172	pwer154	pwer36	pwer30	pwer160	pwer94	pwer99	pwer45	pwer113	pwer108	pwer83	pwer117	pwer157	pwer161	pwer103	pwer124	pwer153	pwer64	pwer5	pwer44	pwer104	pwer9	pwer128	pwer131	pwer130	pwer59	pwer51	pwer140	pwer87	pwer152	pwer42	pwer33	pwer37	pwer46	pwer98	pwer48	pwer20	pwer95	pwer66	pwer4	pwer10	pwer14	pwer67	pwer22	pwer53	pwer11	pwer29	pwer56	pwer23	pwer2	pwer27	pwer18	pwer8	pwer43	pwer28	pwer40	pwer35	pwer6	pwer38	pwer1	pwer31	pwer15	pwer25	pwer7	pwer39	pwer3	pwer21	pwer32	pwer57	pwer54	pwer41	pwer16	pwer55	pwer49	pwer24	pwer13	pwer105
good	75258	14233	21215	134898	40774	150810	36234	30298	28737	158893	39456	141184	24475	21954	28468	31951	18597	23062	35886	157476	21826	22912	41324	46205	20234	29502	27145	13050	28357	24959	38001	104908	29385	26517	22565	39670	31425	28935	20939	19860	29522	31876	20759	26172	35161	38057	33714	18358	20542	18843	23151	20961	20215	30272	127871	12529	10934	8556	11620	39738	25132	26997	33888	42007	33277	25116	8948	24461	1431	124205	15274	27879	12619	32109	26649	43845	12483	32157	22300	112639	36803	39170	14092	22037	9733	23344	36299	18688	44724	7267	26333	15801	37112	40600	18670	14124	23015	40033	30773	34469	16995	23377	30123	18816	9773	136709	36951	8149	12860	32566	12416	17021	7323	29787	26440	20426	33134	21361	26411	19553	13474	37171	11388	10657	36350	16973	9805	31895	13947	27596	26085	14099	29056	25289	14380	9131	6034	6011	10507	18342	27451	7049	13349	20508	12149	8202	3909	19500	4855	15443	7956	10475	15914	6199	9606	11165	3611	10304	7581	9988	11909	11345	11075	7709	8524	8770	3989	11871	6951	10232	10817	6652	5346	7313	16322	10069	4036	12932	12145	7320	3885	116
noisy	6193	1938	2826	14224	4809	21737	4502	4226	3614	21776	4911	19250	2974	2988	3061	4027	2235	2746	4693	16809	2808	2474	4914	5967	2403	3619	3643	1578	3787	2991	5067	8288	3319	3207	2593	4488	4269	3329	2290	2521	3873	4160	2407	3065	4122	4956	3997	2369	2564	2482	2845	3015	2368	3510	14373	1200	1128	931	1170	4248	3016	3108	4684	5062	4070	2877	1071	2919	162	14816	1706	3079	1615	3401	3106	5001	1622	4156	2815	18466	4800	5057	1905	2683	1182	2721	4289	2557	5035	813	3561	1795	4212	4717	1911	1959	2929	4969	4079	4762	2282	2826	4171	2215	1082	16605	5273	842	1480	3762	1517	2133	845	3568	2831	2625	4416	2500	3116	2124	1728	5338	1442	1094	4156	1869	1089	4360	1836	3855	2876	1345	3998	3386	2028	976	631	778	1106	2292	2936	750	1505	2418	1163	857	466	2481	481	1489	830	1125	1757	581	1096	1157	401	1140	805	1055	1291	1209	1064	771	968	882	432	1252	753	1142	1190	636	529	824	1484	1116	448	1433	1130	692	415	15
Root342	14	636	615	42	8503	38	26	1425	1987	6559	18	22	213	1149	2935	2075	325	4270	10	83582	9	1963	5525	3937	278	5147	782	2182	1406	9	37	40	25	16	21	48	945	3559	3544	12	872	1735	725	2876	3845	155	49	299	3760	12	35	627	928	6504	39	1651	196	863	1	40	541	14	844	10022	24	34	146	13	15	37	13	16	215	10	45	67	185	2094	1528	24	19	15	546	321	76	422	25	960	54	8	8	254	4028	8542	32	551	417	5610	1805	44	181	1763	941	246	236	72	1025	106	10	6926	173	308	1378	2614	5375	18	36	28	3572	3592	673	555	345	9	37	1942	156	734	482	1042	32	2204	33	6	442	164	63	96	1733	172	1516	13	139	621	3	198	56	665	1018	654	100	2	820	814	2	9	36	217	11	9	133	188	9	76	7	114	40	10	203	191	6	1281	110	207	827	106	39	41	3	701	38	2
Root569	82	1123	5798	63	10210	77	62	2011	3218	72	62	68	7213	1613	2540	5363	5875	3923	69	68	44	1686	2164	7605	5867	5806	3225	2357	2639	76	47	76841	77	94	50	64	2601	5114	5508	50	3174	3543	4981	3941	1736	33	65	4148	4697	41	59	1051	826	7973	66	3613	3676	749	32	79	6274	64	2338	5030	55	33	2699	57	357	48	31	66	2668	80	46	77	3430	3392	3448	84	70	54	1066	5217	3102	7294	68	2046	55	15	34	5626	2853	6818	60	942	5798	2717	4316	38	3273	1820	3432	4797	3266	58	2307	3239	28	6089	3733	4586	1253	5610	6868	50	35	42	1540	3795	1283	1362	2827	34	61	1467	2536	3276	1376	3086	73	3699	52	71	1219	1953	2037	1391	2217	4657	3523	17	3620	5921	41	1723	807	5017	1242	511	2476	37	2397	1528	34	36	786	2835	21	20	3404	3407	42	855	23	3767	1372	35	1741	1845	38	1838	1793	483	802	2572	835	27	39	2007	898	6
chimera	1139	1784	2178	1841	8670	2008	5538	3607	4045	1853	6353	2023	2848	3253	3822	5343	1907	2783	5663	2667	2103	3248	5179	5680	3199	3359	4284	2063	3244	2595	5738	1829	4309	2751	3212	5056	3623	2950	3301	2035	4532	3875	2191	2657	6206	4686	3228	1903	3082	1828	3426	2211	3040	6517	1846	1514	1231	1112	1058	5968	2688	2542	3688	5581	4810	3438	881	2462	143	2044	2280	2554	1406	2817	2808	5525	1393	5215	3730	8838	5145	5340	2482	2558	1226	2556	5349	2315	7546	844	4015	1330	6391	5549	1783	1715	2554	5343	4720	4663	1667	3650	4355	1847	1039	2189	4260	928	1365	4755	1353	2527	1079	4233	3677	2274	4588	2660	3823	3056	2285	3950	1079	1058	4281	2353	1162	5162	2188	4373	2674	1680	4005	2794	1632	1061	651	867	1455	2846	3354	785	1305	2201	1109	974	478	2048	565	1285	875	1025	1900	714	1125	1299	406	1240	938	1052	1449	1279	1010	873	946	857	483	1245	795	1266	1402	747	647	1059	1572	1164	471	1554	1226	793	470	32
Root68	43951	21	51	49	73	70	8743	33	34	51	10698	274	1045	1165	6809	53	54	32	9028	59	5659	5050	6527	67	508	50	2155	19	37	7319	5275	95	9162	7889	6292	12669	1797	4042	31	5543	803	36	46	2795	8613	4791	8808	31	48	4700	3616	216	4790	46	69	29	33	1195	4385	15783	1348	7859	302	89	7427	5458	18	6849	34	61	4075	10397	24	11832	7530	11558	17	53	36	31	5731	8994	1137	363	208	771	10661	22	15904	999	5424	153	8902	81	5844	22	700	5063	63	3793	35	5113	570	23	20	39	421	26	3870	45	128	220	14	47	68	4711	3540	5442	4352	22	220	2367	11	3518	4833	2652	12	703	492	734	7800	39	3291	6297	176	477	20	114	15	124	4255	2012	820	26	4760	18	116	29	14	4402	24	3275	30	360	1948	3284	59	24	1159	2848	414	35	3745	1691	1416	19	99	3217	5	353	2279	23	15	419	4600	404	255	1681	3941	401	47	2
Root231	25	9	27	85873	31	38	32	25	15	38	34	30	448	874	528	25	36	9	7	38	428	607	1070	32	574	15	268	7	21	296	1354	21	4590	326	3322	4250	1197	434	5	130	443	21	5	596	1342	3463	4354	14	13	641	2590	1054	2339	9	99	4	6	317	47	3612	787	1099	2065	24	814	5301	7	1106	23	15	2546	337	1	328	3229	7046	5	25	13	24	76	267	646	725	161	502	350	11	5555	1506	23	459	1189	21	320	6	1030	1099	12	2480	8	1155	835	2	3	42	2120	5	84	14	282	799	8	10	19	714	135	3606	1099	6	189	1051	7	348	5385	719	3	269	452	653	556	3	1918	301	835	377	3	258	9	669	814	859	479	11	125	3	90	8	1	23	7	52	8	78	331	255	191	6	1613	82	189	1	282	120	575	5	43	238	2	154	300	1	0	242	108	11	75	833	127	71	95	0
Root1212	21	2601	1808	110	4099	37	34	6797	5643	60	23	26	529	842	793	7783	1431	2225	25	636	8	898	1550	5635	1533	2897	1429	1476	6741	15	42	34	15	15	21	26	2838	366	1424	8	3001	7229	3414	606	1216	43	22	1964	1718	17	18	1945	353	2701	81390	640	850	262	3	57	1448	10	4643	4072	36	45	667	9	76	38	12	8	1967	14	29	74	871	8394	4496	29	38	28	596	2474	288	875	25	4431	70	8	21	918	1207	2862	6	2807	1562	1648	5968	33	2006	694	3090	2625	588	23	4207	338	3	3286	310	2229	552	2641	1932	15	31	15	872	2362	2847	3150	1673	8	28	622	603	2947	1649	3444	21	788	32	11	1404	574	225	273	822	2247	631	5	430	2671	3	1367	310	2971	211	75	790	1	1019	123	4	4	155	499	2	4	361	691	23	67	3	353	177	7	712	914	11	225	263	293	251	424	166	3	6	107	329	0
other	158	1265	1209	396	423	803	1049	2131	1593	694	1250	547	938	118	268	1813	898	204	1394	1587	680	146	587	527	1367	346	2038	198	1910	945	1558	312	129	820	89	174	2210	242	254	665	2125	1836	1176	210	266	217	142	922	197	672	73	1818	126	263	391	110	281	51	238	196	885	579	1712	641	1973	145	402	692	58	55333	99	621	538	741	142	326	461	1706	1138	808	1353	2588	60	850	389	661	2036	1264	196	21	959	615	374	506	65	1188	839	626	1660	1569	748	231	1586	947	343	1689	2553	252	356	314	439	1058	42	233	229	582	1208	130	307	225	662	2510	577	908	138	111	398	1962	1200	1426	806	81	1439	1030	877	346	162	258	98	1173	132	181	691	1412	737	447	148	896	25	57	405	305	336	22	399	214	158	378	31	281	358	368	411	212	284	172	126	273	267	448	298	110	231	102	97	372	137	30	24	35	144	10
Root16D2	18	120	27	21	1151	75069	5	146	272	25	8	50	0	1619	367	58	18	690	5	36	2	306	487	3751	18	736	4	468	105	3	4	45	1	6	1	3	16	318	763	4	8	116	27	327	233	4	2	18	480	0	1	36	116	760	115	396	6	147	3	5	4	0	23	1551	5	6	2	7	1	28	1	0	35	0	3	7	12	141	83	18	7	6	429	4	8	7	7	98	2	0	0	22	242	1293	1	53	13	690	110	3	12	153	34	6	9	23	34	26	2	739	9	15	209	2497	933	1	0	5	195	591	46	5	10	0	1	199	10	2	8	24	0	349	1	5	30	20	2	3	406	13	459	1	7	26	1	6	9	39	154	9	7	4	1434	124	1	5	7	22	0	0	4	13	2	10	0	7	3	2	12	15	5	163	3	300	30	0	5	3	0	143	4	0
