Mock_Flg22_vs_Mock,HKSynCom33_Flg22_vs_HKSynCom33,HKSynCom35_Flg22_vs_HKSynCom35,SynCom33_Flg22_vs_SynCom33,SynCom35_Flg22_vs_SynCom35,HKSynCom33_vs_Mock,HKSynCom35_vs_Mock,SynCom33_vs_Mock,SynCom35_vs_Mock,SynCom33_vs_SynCom35,HKSynCom33_vs_HKSynCom35,HKSynCom33_Flg22_vs_Mock,HKSynCom35_Flg22_vs_Mock,SynCom33_Flg22_vs_Mock,SynCom35_Flg22_vs_Mock,SynCom33_Flg22_vs_SynCom35_Flg22,HKSynCom33_Flg22_vs_HKSynCom35_Flg22,HKSynCom33_Flg22_vs_Mock_Flg22,HKSynCom35_Flg22_vs_Mock_Flg22,SynCom33_Flg22_vs_Mock_Flg22,SynCom35_Flg22_vs_Mock_Flg22,SynCom33_vs_HKSynCom33,SynCom35_vs_HKSynCom35,category,term,size
21.350399293386246,33.219280948873624,41.663712948157404,9.741854881312909,0,0,0,35.95072993580349,30.248967445381407,11.446041135109581,0,33.86416685706305,36.16743917078403,36.753398369477104,31.54839892325714,5.711218452009503,0,0,0,22.89439883249209,24.52996332867271,31.12370576605832,25.382145483108907,GO:0042744,hydrogen peroxide catabolic process,103
12.444508959259872,20.583378478851294,30.126190889840505,0,0,0,0,19.21623689234959,9.722125241441853,18.320684248880312,0,19.33001841915524,17.404624353414015,13.55092447485483,9.546535939849196,9.776931995066214,0,0,0,5.977837237248842,6.565153677644344,17.643708615491338,9.710547413983356,GO:0006979,response to oxidative stress,376
8.852651694809328,15.162767125908273,17.610445004258835,18.401319940608225,0,0,0,0,8.518582294583277,0,0,18.543749614274084,22.03439208470973,13.47722576271842,11.223660767526722,0,0,0,0,13.085909090451505,12.849054848763425,0,8.590819413093033,GO:0042545,cell wall modification,51
8.386996914800955,24.402391375959656,21.11747764216049,16.87169733130194,0,0,0,4.836507337826064,11.569157080557446,0,0,27.581752831434816,30.686500375822806,16.54508401395279,14.39991410564257,0,0,0,0,14.392058001856867,11.33165110323076,5.320495319695408,11.575864257427467,GO:1901430,positive regulation of syringal lignin biosynthetic process,2
7.564060219706195,12.506249109560802,9.394316153556522,12.541797401956131,0,0,0,10.035981072681132,18.19607650050041,0,0,23.048784602459307,17.640041121991317,16.563658359679707,14.294549805860965,6.571939580506145,0,0,0,9.256231313284431,11.914114045112356,8.18616940218607,10.703305842872062,GO:0045490,pectin catabolic process,65
7.3061037207061625,6.382442585836469,5.6320183995977935,5.492029638283348,0,0,0,0,0,0,0,5.922086779194781,5.69738455303935,0,0,0,0,0,0,0,0,0,0,GO:0009187,cyclic nucleotide metabolic process,2
7.271998827969078,6.273745603319955,5.577461114624865,5.472732475581424,0,0,0,0,0,0,0,5.864742688236917,5.621557834216939,0,0,0,0,0,0,0,0,0,0,GO:0042659,regulation of cell fate specification,3
5.771969287269702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GO:0046256,"2,4,6-trinitrotoluene catabolic process",2
5.439490224988508,0,0,0,0,0,0,0,5.432888553044949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GO:1901599,(-)-pinoresinol biosynthetic process,2
5.41886575605232,0,0,0,0,0,0,0,0,8.772518466805321,0,0,0,8.210218084241683,0,23.385146589166332,0,0,0,0,0,4.4739355163138015,0,GO:0019427,acetyl-CoA biosynthetic process from acetate,4
