Cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
cluster4,GO:0090627,plant epidermal cell differentiation,30/379,375/20876,1.223910541635649e-11,6.433669434788841e-9,5.835901655089556e-9,AT1G04040/AT1G05260/AT5G05500/AT1G13980/AT2G35620/AT4G25220/AT5G17820/AT5G57540/AT4G26010/AT3G05490/AT3G01730/AT1G48930/AT1G27740/AT1G30870/AT3G02240/AT5G06640/AT5G24313/AT1G12040/AT1G62980/AT1G70460/AT3G49960/AT4G25820/AT1G54970/AT5G22410/AT1G30850/AT1G12560/AT5G57530/AT3G10525/AT5G35190/AT4G27290,30
cluster4,GO:0010054,trichoblast differentiation,29/379,354/20876,1.53187717756198e-11,6.433669434788841e-9,5.835901655089556e-9,AT1G04040/AT1G05260/AT5G05500/AT1G13980/AT2G35620/AT4G25220/AT5G17820/AT5G57540/AT4G26010/AT3G05490/AT3G01730/AT1G48930/AT1G27740/AT1G30870/AT3G02240/AT5G06640/AT5G24313/AT1G12040/AT1G62980/AT1G70460/AT3G49960/AT4G25820/AT1G54970/AT5G22410/AT1G30850/AT1G12560/AT5G57530/AT5G35190/AT4G27290,29
cluster4,GO:0010015,root morphogenesis,33/379,458/20876,1.8793581601135858e-11,6.433669434788841e-9,5.835901655089556e-9,AT1G04040/AT1G05260/AT1G31930/AT5G05730/AT5G05500/AT1G13980/AT2G35620/AT3G13300/AT4G25220/AT5G17820/AT5G57540/AT4G26010/AT3G05490/AT3G01730/AT1G48930/AT1G27740/AT1G30870/AT3G02240/AT5G06640/AT5G24313/AT1G12040/AT1G62980/AT1G70460/AT3G49960/AT4G25820/AT1G54970/AT5G22410/AT1G30850/AT4G37070/AT1G12560/AT5G57530/AT5G35190/AT4G27290,33
cluster4,GO:0010053,root epidermal cell differentiation,29/379,365/20876,3.218705262536074e-11,8.26402576156137e-9,7.496195150906383e-9,AT1G04040/AT1G05260/AT5G05500/AT1G13980/AT2G35620/AT4G25220/AT5G17820/AT5G57540/AT4G26010/AT3G05490/AT3G01730/AT1G48930/AT1G27740/AT1G30870/AT3G02240/AT5G06640/AT5G24313/AT1G12040/AT1G62980/AT1G70460/AT3G49960/AT4G25820/AT1G54970/AT5G22410/AT1G30850/AT1G12560/AT5G57530/AT5G35190/AT4G27290,29
cluster4,GO:0010167,response to nitrate,15/379,197/20876,3.3730484852552057e-6,6.928241588714193e-4,6.284521914633383e-4,AT2G29330/AT4G01700/AT1G09090/AT1G05260/AT2G47160/AT5G17820/AT1G13110/AT4G26010/AT4G19680/AT5G64100/AT1G17860/AT1G13100/AT2G28960/AT5G44380/AT1G18980,15
cluster4,GO:0015698,inorganic anion transport,17/379,256/20876,4.878825826982762e-6,8.350923540518826e-4,7.575019047157445e-4,AT2G29330/AT4G01700/AT1G09090/AT1G05260/AT1G35350/AT5G43370/AT2G47160/AT5G17820/AT1G13110/AT4G26010/AT4G19680/AT5G64100/AT1G17860/AT1G13100/AT2G28960/AT5G44380/AT1G18980,17
cluster4,GO:0015706,nitrate transport,15/379,206/20876,5.829133818842254e-6,8.552172045644279e-4,7.757569067181045e-4,AT2G29330/AT4G01700/AT1G09090/AT1G05260/AT2G47160/AT5G17820/AT1G13110/AT4G26010/AT4G19680/AT5G64100/AT1G17860/AT1G13100/AT2G28960/AT5G44380/AT1G18980,15
cluster4,GO:0006826,iron ion transport,11/379,120/20876,1.2105205003167162e-5,0.0015540056922815845,0.0014096192668161761,AT2G29330/AT1G09090/AT1G05260/AT2G47160/AT5G17820/AT4G26010/AT4G19680/AT5G35750/AT2G28960/AT1G23020/AT1G18980,11
cluster4,GO:0048764,trichoblast maturation,18/379,323/20876,2.820011897029909e-5,0.0027422520962601254,0.002487462824978436,AT1G04040/AT5G05500/AT1G13980/AT2G35620/AT5G17820/AT5G57540/AT3G05490/AT3G01730/AT1G27740/AT3G02240/AT5G24313/AT1G12040/AT1G62980/AT1G70460/AT5G22410/AT1G30850/AT1G12560/AT4G27290,18
cluster4,GO:0048765,root hair cell differentiation,18/379,323/20876,2.820011897029909e-5,0.0027422520962601254,0.002487462824978436,AT1G04040/AT5G05500/AT1G13980/AT2G35620/AT5G17820/AT5G57540/AT3G05490/AT3G01730/AT1G27740/AT3G02240/AT5G24313/AT1G12040/AT1G62980/AT1G70460/AT5G22410/AT1G30850/AT1G12560/AT4G27290,18
cluster4,GO:0048469,cell maturation,18/379,324/20876,2.9371736181948763e-5,0.0027422520962601254,0.002487462824978436,AT1G04040/AT5G05500/AT1G13980/AT2G35620/AT5G17820/AT5G57540/AT3G05490/AT3G01730/AT1G27740/AT3G02240/AT5G24313/AT1G12040/AT1G62980/AT1G70460/AT5G22410/AT1G30850/AT1G12560/AT4G27290,18
