ID,cl,GeneID,Gene,Description
AT1G79620.1,7,AT1G79620,AT1G79620,Leucine-rich repeat protein kinase family protein [Source:TAIR;Acc:AT1G79620]
AT4G35350.1,8,AT4G35350,XCP1,Cysteine protease XCP1 [Source:UniProtKB/Swiss-Prot;Acc:O65493]
AT1G19300.1,8,AT1G19300,GATL1,Probable galacturonosyltransferase-like 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LN68]
AT5G03170.1,7,AT5G03170,FLA11,Fasciclin-like arabinogalactan protein 11 [Source:UniProtKB/Swiss-Prot;Acc:Q8LEJ6]
AT5G48920.1,8,AT5G48920,TED7,At5g48920 [Source:UniProtKB/TrEMBL;Acc:Q9FI79]
AT1G75500.2,7,AT1G75500,WAT1,Protein WALLS ARE THIN 1 [Source:UniProtKB/Swiss-Prot;Acc:Q94AP3]
AT1G75500.1,8,AT1G75500,WAT1,Protein WALLS ARE THIN 1 [Source:UniProtKB/Swiss-Prot;Acc:Q94AP3]
AT5G60020.1,8,AT5G60020,LAC17,Laccase-17 [Source:UniProtKB/Swiss-Prot;Acc:Q9FJD5]
AT1G73410.1,7,AT1G73410,ATMYB54,MYB54 [Source:UniProtKB/TrEMBL;Acc:A0A178WGB1]
AT2G03090.1,8,AT2G03090,EXPA15,Expansin-A15 [Source:UniProtKB/Swiss-Prot;Acc:O80622]
AT1G70370.2,8,AT1G70370,PGL3,Polygalacturonase 1 beta-like protein 3 [Source:UniProtKB/Swiss-Prot;Acc:P92990]
AT4G22680.1,8,AT4G22680,MYB85,MYB transcription factor [Source:UniProtKB/TrEMBL;Acc:Q94GA6]
AT3G27200.1,8,AT3G27200,AT3G27200,At3g27200 [Source:UniProtKB/TrEMBL;Acc:Q8VY59]
AT4G05200.1,7,AT4G05200,CRK25,cysteine-rich RLK (RECEPTOR-like protein kinase) 25 [Source:TAIR;Acc:AT4G05200]
AT1G28470.1,8,AT1G28470,NAC010,NAC domain-containing protein 10 [Source:UniProtKB/Swiss-Prot;Acc:F4HY61]
AT4G18780.1,7,AT4G18780,CESA8,Cellulose synthase (Fragment) [Source:UniProtKB/TrEMBL;Acc:A0A068FHR7]
AT3G15050.1,8,AT3G15050,IQD10,IQ-domain 10 [Source:UniProtKB/TrEMBL;Acc:Q9LKA0]
AT2G45470.1,7,AT2G45470,FLA8,Fasciclin-like arabinogalactan protein 8 [Source:UniProtKB/Swiss-Prot;Acc:O22126]
AT4G37940.1,8,AT4G37940,AGL21,Agamous-like MADS-box protein AGL21 [Source:UniProtKB/Swiss-Prot;Acc:Q9SZJ6]
