Cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
cluster3,GO:0002679,respiratory burst involved in defense response,15/221,121/20876,2.926980131491702e-12,9.29503635301271e-10,7.70769162067287e-10,AT2G43620/AT3G23250/AT1G66160/AT3G11840/AT4G22530/AT1G27730/AT3G63380/AT1G23710/AT2G38470/AT1G26420/AT4G20830/AT1G02360/AT1G74360/AT4G33050/AT5G47220,15
cluster3,GO:0045730,respiratory burst,15/221,121/20876,2.926980131491702e-12,9.29503635301271e-10,7.70769162067287e-10,AT2G43620/AT3G23250/AT1G66160/AT3G11840/AT4G22530/AT1G27730/AT3G63380/AT1G23710/AT2G38470/AT1G26420/AT4G20830/AT1G02360/AT1G74360/AT4G33050/AT5G47220,15
cluster3,GO:0010200,response to chitin,25/221,421/20876,3.4812870236002657e-12,9.29503635301271e-10,7.70769162067287e-10,AT2G19190/AT2G43620/AT3G23250/AT1G66160/AT5G01540/AT3G47380/AT1G19180/AT3G11840/AT4G18950/AT4G22530/AT1G27730/AT3G63380/AT5G25910/AT1G23710/AT5G22890/AT2G38470/AT1G26420/AT4G20830/AT1G02360/AT3G17700/AT1G74360/AT3G57550/AT4G33050/AT3G25250/AT5G47220,25
cluster3,GO:0010243,response to organonitrogen compound,25/221,443/20876,1.054189880772566e-11,2.1110152362470637e-9,1.750510038861814e-9,AT2G19190/AT2G43620/AT3G23250/AT1G66160/AT5G01540/AT3G47380/AT1G19180/AT3G11840/AT4G18950/AT4G22530/AT1G27730/AT3G63380/AT5G25910/AT1G23710/AT5G22890/AT2G38470/AT1G26420/AT4G20830/AT1G02360/AT3G17700/AT1G74360/AT3G57550/AT4G33050/AT3G25250/AT5G47220,25
cluster3,GO:0009753,response to jasmonic acid,25/221,474/20876,4.501637525906714e-11,7.2116233165025545e-9,5.9800700607308135e-9,AT2G19190/AT3G23250/AT1G76930/AT5G13330/AT5G39610/AT5G01540/AT5G06860/AT3G47380/AT1G19180/AT3G11840/AT3G50760/AT1G72450/AT4G18950/AT1G27730/AT5G07010/AT1G63720/AT4G11330/AT5G64890/AT2G38470/AT3G17700/AT4G34710/AT1G74360/AT4G24380/AT4G33050/AT5G47220,25
cluster3,GO:0015849,organic acid transport,19/221,280/20876,1.6481187924867376e-10,1.8859187896883953e-8,1.5638540722693706e-8,AT2G19190/AT2G43620/AT4G18170/AT4G22470/AT1G66160/AT1G76930/AT4G02330/AT5G06860/AT3G47380/AT4G31730/AT2G39530/AT1G78360/AT1G09560/AT1G08430/AT3G59700/AT1G02360/AT3G18250/AT4G24380/AT2G44370,19
cluster3,GO:0046942,carboxylic acid transport,19/221,280/20876,1.6481187924867376e-10,1.8859187896883953e-8,1.5638540722693706e-8,AT2G19190/AT2G43620/AT4G18170/AT4G22470/AT1G66160/AT1G76930/AT4G02330/AT5G06860/AT3G47380/AT4G31730/AT2G39530/AT1G78360/AT1G09560/AT1G08430/AT3G59700/AT1G02360/AT3G18250/AT4G24380/AT2G44370,19
cluster3,GO:0006865,amino acid transport,18/221,255/20876,2.684624706342105e-10,2.6879804872250326e-8,2.228944986449827e-8,AT2G19190/AT2G43620/AT4G18170/AT4G22470/AT1G66160/AT1G76930/AT4G02330/AT5G06860/AT3G47380/AT4G31730/AT2G39530/AT1G78360/AT1G09560/AT3G59700/AT1G02360/AT3G18250/AT4G24380/AT2G44370,18
cluster3,GO:0009611,response to wounding,20/221,335/20876,5.147046874922482e-10,4.580871718681009e-8,3.798580793071446e-8,AT3G23250/AT1G51680/AT1G76930/AT1G19180/AT4G13300/AT3G50760/AT1G72450/AT4G18950/AT4G34050/AT1G27730/AT5G43580/AT5G24760/AT5G07010/AT5G47910/AT1G23710/AT5G24090/AT4G20830/AT4G34710/AT4G24380/AT3G25250,20
cluster3,GO:0015711,organic anion transport,19/221,302/20876,5.922748778804301e-10,4.744121771822245e-8,3.9339520836058047e-8,AT2G19190/AT2G43620/AT4G18170/AT4G22470/AT1G66160/AT1G76930/AT4G02330/AT5G06860/AT3G47380/AT4G31730/AT2G39530/AT1G78360/AT1G09560/AT1G08430/AT3G59700/AT1G02360/AT3G18250/AT4G24380/AT2G44370,19
cluster3,GO:0050832,defense response to fungus,20/221,351/20876,1.1586689439568298e-9,8.437216582812914e-8,6.996364628102964e-8,AT2G19190/AT5G01540/AT5G06860/AT3G47380/AT1G19180/AT3G11840/AT1G61560/AT5G43580/AT5G25910/AT5G47910/AT5G25110/AT2G38470/AT1G02920/AT3G56710/AT1G02360/AT3G17700/AT1G74360/AT3G57550/AT4G33050/AT5G38900,20
cluster3,GO:0009723,response to ethylene,19/221,353/20876,7.782723342890409e-9,5.194967831379348e-7,4.3078056397928494e-7,AT3G23250/AT5G57090/AT5G13330/AT5G39610/AT1G19180/AT1G25220/AT4G18950/AT1G27730/AT1G63720/AT5G64890/AT1G32350/AT5G25190/AT1G23710/AT1G76800/AT1G21140/AT4G34710/AT5G47220/AT5G38900/AT5G04950,19
