Cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Gene,GO:0010054,trichoblast differentiation,24/120,354/20876,3.6420409773833545e-19,1.3985437353152083e-16,1.0312726557011817e-16,AT5G67400/AT1G62980/AT4G25790/AT5G04960/AT1G21210/AT3G10710/AT5G05500/AT4G30320/AT3G16370/AT4G16370/AT1G49860/AT4G02270/AT1G54970/AT5G06640/AT5G22410/AT5G57540/AT3G62680/AT4G40090/AT3G02240/AT4G25820/AT2G20520/AT4G25220/AT5G51310/AT5G24313,24
Gene,GO:0010053,root epidermal cell differentiation,24/120,365/20876,7.405081229683954e-19,1.4217755960993192e-16,1.0484036056763073e-16,AT5G67400/AT1G62980/AT4G25790/AT5G04960/AT1G21210/AT3G10710/AT5G05500/AT4G30320/AT3G16370/AT4G16370/AT1G49860/AT4G02270/AT1G54970/AT5G06640/AT5G22410/AT5G57540/AT3G62680/AT4G40090/AT3G02240/AT4G25820/AT2G20520/AT4G25220/AT5G51310/AT5G24313,24
Gene,GO:0090627,plant epidermal cell differentiation,24/120,375/20876,1.3832527583156755e-18,1.7705635306440646e-16,1.3055964631119885e-16,AT5G67400/AT1G62980/AT4G25790/AT5G04960/AT1G21210/AT3G10710/AT5G05500/AT4G30320/AT3G16370/AT4G16370/AT1G49860/AT4G02270/AT1G54970/AT5G06640/AT5G22410/AT5G57540/AT3G62680/AT4G40090/AT3G02240/AT4G25820/AT2G20520/AT4G25220/AT5G51310/AT5G24313,24
Gene,GO:0010015,root morphogenesis,24/120,458/20876,1.3275053903430023e-16,1.2744051747292822e-14,9.39734078953336e-15,AT5G67400/AT1G62980/AT4G25790/AT5G04960/AT1G21210/AT3G10710/AT5G05500/AT4G30320/AT3G16370/AT4G16370/AT1G49860/AT4G02270/AT1G54970/AT5G06640/AT5G22410/AT5G57540/AT3G62680/AT4G40090/AT3G02240/AT4G25820/AT2G20520/AT4G25220/AT5G51310/AT5G24313,24
Gene,GO:0048764,trichoblast maturation,14/120,323/20876,5.213858406745211e-9,2.975072393157623e-7,2.19378967587555e-7,AT1G62980/AT1G21210/AT5G05500/AT4G30320/AT3G16370/AT4G16370/AT1G49860/AT5G22410/AT5G57540/AT3G62680/AT4G40090/AT3G02240/AT5G51310/AT5G24313,14
Gene,GO:0048765,root hair cell differentiation,14/120,323/20876,5.213858406745211e-9,2.975072393157623e-7,2.19378967587555e-7,AT1G62980/AT1G21210/AT5G05500/AT4G30320/AT3G16370/AT4G16370/AT1G49860/AT5G22410/AT5G57540/AT3G62680/AT4G40090/AT3G02240/AT5G51310/AT5G24313,14
Gene,GO:0048469,cell maturation,14/120,324/20876,5.423309050026917e-9,2.975072393157623e-7,2.19378967587555e-7,AT1G62980/AT1G21210/AT5G05500/AT4G30320/AT3G16370/AT4G16370/AT1G49860/AT5G22410/AT5G57540/AT3G62680/AT4G40090/AT3G02240/AT5G51310/AT5G24313,14
Gene,GO:0009636,response to toxic substance,13/120,430/20876,1.1924971329572821e-6,5.723986238194954e-5,4.220812220598802e-5,AT2G20560/AT5G05410/AT1G17180/AT1G05680/AT1G49860/AT3G28740/AT5G64510/AT2G19310/AT1G05560/AT2G34500/AT1G75270/AT2G47730/AT5G16970,13
Gene,GO:0010583,response to cyclopentenone,8/120,148/20876,2.269652879403651e-6,9.683852285455576e-5,7.140779234614996e-5,AT1G17180/AT1G05680/AT1G49860/AT3G28740/AT1G05560/AT2G34500/AT1G75270/AT5G16970,8
Gene,GO:0009407,toxin catabolic process,9/120,211/20876,3.681991584747842e-6,1.4138847685431712e-4,1.0425849855759681e-4,AT1G17180/AT1G05680/AT1G49860/AT3G28740/AT1G05560/AT2G34500/AT1G75270/AT2G47730/AT5G16970,9
Gene,GO:0009404,toxin metabolic process,9/120,223/20876,5.773245831441124e-6,2.015387635703083e-4,1.4861273958446532e-4,AT1G17180/AT1G05680/AT1G49860/AT3G28740/AT1G05560/AT2G34500/AT1G75270/AT2G47730/AT5G16970,9
Gene,GO:0098754,detoxification,9/120,226/20876,6.432325573209639e-6,2.0583441834270844e-4,1.517803139643327e-4,AT1G17180/AT1G05680/AT1G49860/AT3G28740/AT1G05560/AT2G34500/AT1G75270/AT2G47730/AT5G16970,9
Gene,GO:0001666,response to hypoxia,6/120,100/20876,2.441285213120126e-5,7.211180937216373e-4,5.317455241532907e-4,AT5G63790/AT1G73805/AT1G19250/AT1G49860/AT1G14550/AT5G26920,6
Gene,GO:0036293,response to decreased oxygen levels,6/120,103/20876,2.887565429275577e-5,7.808237946274988e-4,5.757719318936327e-4,AT5G63790/AT1G73805/AT1G19250/AT1G49860/AT1G14550/AT5G26920,6
Gene,GO:0070482,response to oxygen levels,6/120,104/20876,3.0500929477636672e-5,7.808237946274988e-4,5.757719318936327e-4,AT5G63790/AT1G73805/AT1G19250/AT1G49860/AT1G14550/AT5G26920,6
Gene,GO:0046482,para-aminobenzoic acid metabolic process,4/120,38/20876,6.589306076184693e-5,0.0015814334582843264,0.0011661337726932123,AT2G17500/AT2G37760/AT1G05560/AT5G61820,4
Gene,GO:0048767,root hair elongation,7/120,188/20876,1.0846987263952041e-4,0.002450143005504461,0.001806711810528235,AT1G62980/AT5G05500/AT3G16370/AT4G16370/AT3G62680/AT3G02240/AT5G51310,7
